phase,A1_actionId,C_actionId,n_context,EV,count,train_winrate,usage_rate
front3,0,1,3127,0.5262119702559442,897,0.5596432552954292,0.28685641189638633
front3,0,2,3127,0.4972994267237595,516,0.4844961240310077,0.16501439078989447
front3,0,3,3127,0.5842980651464383,50,0.68,0.01598976654940838
front3,0,4,3127,0.5513356921323367,78,0.5512820512820513,0.02494403581707707
front3,0,5,3127,0.5449119661185127,135,0.6,0.04317236968340262
front3,0,6,3127,0.5332162830677681,266,0.47368421052631576,0.08506555804285257
front3,0,7,3127,0.4800597431463467,119,0.453781512605042,0.038055644387591944
front3,0,8,3127,0.4154243978271602,7,0.5714285714285714,0.002238567316917173
front3,0,9,3127,0.4309911557105906,1,0.0,0.0003197953309881676
front3,0,10,3127,0.4228371198731389,476,0.46638655462184875,0.15222257755036778
front3,0,11,3127,0.45403497589312813,211,0.43601895734597157,0.06747681483850336
front3,0,12,3127,0.49438272415566914,102,0.5196078431372549,0.032619123760793095
front3,0,13,3127,0.3786197093514755,263,0.3041825095057034,0.08410617204988807
front3,0,14,3127,0.27040318171292044,6,0.3333333333333333,0.0019187719859290054
front3,15,1,7344,0.5013826641698177,2580,0.5414728682170543,0.35130718954248363
front3,15,2,7344,0.4767047348550012,533,0.46904315196998125,0.07257625272331154
front3,15,3,7344,0.546823978467495,127,0.5118110236220472,0.017293028322440087
front3,15,4,7344,0.5154993447442633,171,0.5789473684210527,0.023284313725490197
front3,15,5,7344,0.4900981663948968,432,0.41435185185185186,0.058823529411764705
front3,15,6,7344,0.5164995635863295,790,0.47848101265822784,0.10757080610021787
front3,15,7,7344,0.47694999945038463,171,0.5614035087719298,0.023284313725490197
front3,15,8,7344,0.3903981743604774,56,0.4107142857142857,0.007625272331154684
front3,15,9,7344,0.45033418785150126,55,0.509090909090909,0.007489106753812636
front3,15,10,7344,0.40148464247068966,1106,0.4213381555153707,0.15059912854030502
front3,15,11,7344,0.4383065039421914,464,0.47844827586206895,0.06318082788671024
front3,15,12,7344,0.4745323556121137,276,0.45652173913043476,0.03758169934640523
front3,15,13,7344,0.3553138381510105,575,0.3373913043478261,0.07829520697167756
front3,15,14,7344,0.25893590542078443,8,0.25,0.0010893246187363835
front3,16,1,1503,0.48017907176142216,549,0.49544626593806923,0.3652694610778443
front3,16,2,1503,0.46780575498097826,112,0.4642857142857143,0.07451763140385895
front3,16,3,1503,0.5360366293775479,55,0.6,0.036593479707252165
front3,16,4,1503,0.5053242322321927,16,0.5,0.010645375914836993
front3,16,5,1503,0.4844618610947568,116,0.4396551724137931,0.0771789753825682
front3,16,6,1503,0.5048356087237454,201,0.44776119402985076,0.13373253493013973
front3,16,7,1503,0.46986544718080614,67,0.5671641791044776,0.044577511643379905
front3,16,8,1503,0.38164123826010704,9,0.2222222222222222,0.005988023952095809
front3,16,9,1503,0.4438798470988776,11,0.6363636363636364,0.007318695941450432
front3,16,10,1503,0.39551835403267416,162,0.47530864197530864,0.10778443113772455
front3,16,11,1503,0.43140249326536434,64,0.4375,0.04258150365934797
front3,16,12,1503,0.47910718438837435,9,0.3333333333333333,0.005988023952095809
front3,16,13,1503,0.36726388861724896,130,0.33076923076923076,0.08649367930805056
front3,16,14,1503,0.2713430391446036,2,0.0,0.0013306719893546241
front3,17,1,483,0.5002771568379463,219,0.5342465753424658,0.453416149068323
front3,17,2,483,0.48696656925113035,20,0.55,0.041407867494824016
front3,17,3,483,0.5300395207928236,18,0.5,0.037267080745341616
front3,17,4,483,0.5250443745973286,6,0.6666666666666666,0.012422360248447204
front3,17,5,483,0.5178588712239511,33,0.45454545454545453,0.06832298136645963
front3,17,6,483,0.5347750319024505,59,0.5084745762711864,0.12215320910973085
front3,17,7,483,0.49925579570528134,5,1.0,0.010351966873706004
front3,17,8,483,0.4087330066046611,4,0.5,0.008281573498964804
front3,17,9,483,0.4625674328303083,2,0.0,0.004140786749482402
front3,17,10,483,0.42104253522694646,62,0.43548387096774194,0.12836438923395446
front3,17,11,483,0.4547314843133273,22,0.5454545454545454,0.045548654244306416
front3,17,12,483,0.5087983034136304,3,0.3333333333333333,0.006211180124223602
front3,17,13,483,0.40076783498547197,29,0.3448275862068966,0.060041407867494824
front3,17,14,483,0.30281348276261066,1,1.0,0.002070393374741201
front3,18,1,219,0.435076297659628,63,0.3968253968253968,0.2876712328767123
front3,18,2,219,0.459586172073882,14,0.42857142857142855,0.0639269406392694
front3,18,3,219,0.544845415178554,12,0.5833333333333334,0.0547945205479452
front3,18,5,219,0.5014961391687573,13,0.6153846153846154,0.0593607305936073
front3,18,6,219,0.513156977068566,35,0.42857142857142855,0.1598173515981735
front3,18,8,219,0.4192390338044036,6,0.3333333333333333,0.0273972602739726
front3,18,9,219,0.4921835162272654,8,0.625,0.0365296803652968
front3,18,10,219,0.4670037210873175,41,0.5609756097560976,0.1872146118721461
front3,18,12,219,0.5137024619709932,15,0.5333333333333333,0.0684931506849315
front3,18,13,219,0.38816353252880426,12,0.25,0.0547945205479452
