phase,A1_actionId,C_actionId,n_context,A1_spinId,C_spinId,EV,count,train_winrate,usage_rate
front3,0,1,29,1,1,0.605549921883356,1,1.0,0.034482758620689655
front3,0,2,29,1,0,0.0017415005803813055,1,0.0,0.034482758620689655
front3,0,2,29,1,1,0.5908854893774398,11,0.6363636363636364,0.3793103448275862
front3,0,3,29,1,1,0.6466493284244685,1,1.0,0.034482758620689655
front3,0,5,29,1,1,0.5857316368839107,4,0.5,0.13793103448275862
front3,0,6,29,1,1,0.599431047190693,4,1.0,0.13793103448275862
front3,0,6,29,1,3,0.5898686567421985,1,0.0,0.034482758620689655
front3,0,7,29,1,1,0.5493139416807531,1,1.0,0.034482758620689655
front3,0,10,29,1,2,0.4833177610241581,1,0.0,0.034482758620689655
front3,0,11,29,1,2,0.5564109329119455,1,1.0,0.034482758620689655
front3,0,12,29,1,2,0.5701230262120698,1,0.0,0.034482758620689655
front3,0,13,29,1,3,0.38688275329714583,2,1.0,0.06896551724137931
front3,0,1,787,2,0,0.0013400873435437742,4,0.0,0.005082592121982211
front3,0,1,787,2,1,0.5446190504712072,247,0.5222672064777328,0.3138500635324015
front3,0,2,787,2,0,0.0012527870724508459,1,0.0,0.0012706480304955528
front3,0,2,787,2,1,0.5063091247309264,98,0.4897959183673469,0.12452350698856417
front3,0,2,787,2,3,0.39500373713530784,1,1.0,0.0012706480304955528
front3,0,3,787,2,1,0.5810961592961665,5,0.8,0.0063532401524777635
front3,0,3,787,2,3,0.5692663981742702,2,0.0,0.0025412960609911056
front3,0,4,787,2,0,0.0014150232518274632,2,0.0,0.0025412960609911056
front3,0,4,787,2,1,0.5571208452744133,25,0.64,0.03176620076238882
front3,0,5,787,2,0,0.0014656598512834793,1,0.0,0.0012706480304955528
front3,0,5,787,2,1,0.5525043515900874,25,0.68,0.03176620076238882
front3,0,6,787,2,0,0.001454614181678069,1,0.0,0.0012706480304955528
front3,0,6,787,2,1,0.5406873163910794,21,0.6190476190476191,0.026683608640406607
front3,0,6,787,2,3,0.5239439211345948,18,0.3888888888888889,0.022871664548919948
front3,0,7,787,2,0,0.0012803929484396018,5,0.0,0.0063532401524777635
front3,0,7,787,2,1,0.4869743645172529,34,0.5294117647058824,0.043202033036848796
front3,0,7,787,2,3,0.4390223912424699,10,0.1,0.012706480304955527
front3,0,10,787,2,1,0.43778555082356085,1,1.0,0.0012706480304955528
front3,0,10,787,2,2,0.43175832857951923,137,0.45985401459854014,0.17407878017789072
front3,0,10,787,2,3,0.3609633001970931,11,0.5454545454545454,0.01397712833545108
front3,0,10,787,2,5,0.6566243972193168,1,1.0,0.0012706480304955528
front3,0,11,787,2,0,0.001357340177160144,1,0.0,0.0012706480304955528
front3,0,11,787,2,2,0.4743119582764293,56,0.5,0.07115628970775095
front3,0,11,787,2,3,0.39479368445693463,24,0.375,0.030495552731893267
front3,0,12,787,2,2,0.5189190398523487,10,0.6,0.012706480304955527
front3,0,13,787,2,0,0.0013639374937404287,2,0.0,0.0025412960609911056
front3,0,13,787,2,1,0.3984471876625957,17,0.35294117647058826,0.021601016518424398
front3,0,13,787,2,3,0.333342362933134,27,0.25925925925925924,0.03430749682337993
front3,0,1,261,3,0,0.0013717015066998706,2,0.0,0.007662835249042145
front3,0,1,261,3,1,0.5547315994355214,97,0.5670103092783505,0.3716475095785441
front3,0,2,261,3,0,0.0013089222316074113,3,0.0,0.011494252873563218
front3,0,2,261,3,1,0.5187568649257018,24,0.5833333333333334,0.09195402298850575
front3,0,3,261,3,1,0.5859887721002436,2,0.5,0.007662835249042145
front3,0,3,261,3,3,0.5806100667665706,6,0.6666666666666666,0.022988505747126436
front3,0,4,261,3,0,0.0014158846041035877,1,0.0,0.0038314176245210726
front3,0,4,261,3,1,0.5587961749366667,8,0.25,0.03065134099616858
front3,0,5,261,3,0,0.001485989020007363,1,0.0,0.0038314176245210726
front3,0,5,261,3,1,0.5565638469997372,20,0.5,0.07662835249042145
front3,0,5,261,3,3,0.5112600886268268,1,0.0,0.0038314176245210726
front3,0,6,261,3,1,0.5371984231057212,12,0.4166666666666667,0.04597701149425287
front3,0,6,261,3,2,0.5377118910149726,1,1.0,0.0038314176245210726
front3,0,6,261,3,3,0.5253762729315503,3,0.0,0.011494252873563218
front3,0,7,261,3,1,0.47710951340151686,24,0.5416666666666666,0.09195402298850575
front3,0,10,261,3,1,0.4212563992607357,1,0.0,0.0038314176245210726
front3,0,10,261,3,2,0.41384766166431675,13,0.38461538461538464,0.04980842911877394
front3,0,10,261,3,3,0.34362615483255154,4,0.25,0.01532567049808429
front3,0,11,261,3,2,0.4525158305441338,8,0.25,0.03065134099616858
front3,0,11,261,3,3,0.3746174148150483,8,0.5,0.03065134099616858
front3,0,12,261,3,2,0.49076430469761045,3,0.3333333333333333,0.011494252873563218
front3,0,13,261,3,0,0.0012802770513312728,3,0.0,0.011494252873563218
front3,0,13,261,3,1,0.373928309910078,10,0.3,0.038314176245210725
front3,0,13,261,3,3,0.31496767628678335,5,0.4,0.019157088122605363
front3,0,13,261,3,5,0.7437435439275685,1,1.0,0.0038314176245210726
front3,0,1,636,4,0,0.0013752173408369016,2,0.0,0.0031446540880503146
front3,0,1,636,4,1,0.5420583777857041,176,0.5568181818181818,0.27672955974842767
front3,0,2,636,4,0,0.0013313239342583741,3,0.0,0.0047169811320754715
front3,0,2,636,4,1,0.5120811608848873,127,0.44881889763779526,0.19968553459119498
front3,0,3,636,4,1,0.574156711928789,7,0.8571428571428571,0.0110062893081761
front3,0,3,636,4,3,0.5722705455548334,14,0.6428571428571429,0.0220125786163522
front3,0,4,636,4,1,0.5410871510273163,4,0.75,0.006289308176100629
front3,0,5,636,4,0,0.0014373678899254874,1,0.0,0.0015723270440251573
front3,0,5,636,4,1,0.5339010416431749,31,0.6451612903225806,0.04874213836477988
front3,0,5,636,4,3,0.4906302748523372,1,0.0,0.0015723270440251573
front3,0,6,636,4,0,0.001370902622215798,2,0.0,0.0031446540880503146
front3,0,6,636,4,1,0.5133328675472029,76,0.40789473684210525,0.11949685534591195
front3,0,6,636,4,2,0.5199937195747462,1,1.0,0.0015723270440251573
front3,0,6,636,4,3,0.5026978451079426,4,0.0,0.006289308176100629
front3,0,7,636,4,1,0.46733109186039307,13,0.46153846153846156,0.020440251572327043
front3,0,10,636,4,1,0.41726551271242956,2,1.0,0.0031446540880503146
front3,0,10,636,4,2,0.41248636995273275,32,0.46875,0.050314465408805034
