A1_actionId,C_actionId,EV,count,usage_rate
0,1,0.8915401364481536,315,0.36123853211009177
0,2,0.8890181647691731,151,0.1731651376146789
0,3,0.93080058804019,27,0.03096330275229358
0,4,0.9037656188708558,26,0.02981651376146789
0,5,0.9057475944836871,45,0.051605504587155966
0,6,0.9202059599961866,69,0.07912844036697247
0,7,0.8396633040490793,38,0.04357798165137615
0,10,0.8319589174575726,98,0.11238532110091744
0,11,0.8265197751551155,36,0.04128440366972477
0,12,0.8755080285590784,16,0.01834862385321101
0,13,0.7219633002799769,50,0.05733944954128441
0,14,0.5634501805371963,1,0.0011467889908256881
1,1,0.5499218349283991,1749,0.38532716457369465
1,2,0.5309499986762752,514,0.11324080193875304
1,3,0.6010831324670578,330,0.07270323859881031
1,5,0.4865289762530083,450,0.0991407799074686
1,6,0.5212035476125578,505,0.11125798634060366
1,8,0.3911569877389237,11,0.0024234412866270105
1,9,0.4830794598937537,5,0.0011015642211940956
1,10,0.36144389835292295,81,0.01784534038334435
1,11,0.4810131858483354,78,0.017184401850627893
1,12,0.5298190737004207,34,0.00749063670411985
1,13,0.24587730416036893,746,0.16435338180215905
1,14,0.19309972051990953,36,0.007931262392597489
2,1,0.4976522425097642,369,0.20465890183028287
2,2,0.49193258406535945,871,0.48308374930671105
2,3,0.561347167165701,22,0.012201885745978924
2,5,0.45502710374211236,80,0.044370493621741544
2,6,0.4872815679641938,128,0.07099278979478647
2,9,0.45092062980884196,3,0.0016638935108153079
2,10,0.32941165971980757,4,0.0022185246810870773
2,11,0.4206055135998344,3,0.0016638935108153079
2,12,0.4642167979611986,21,0.011647254575707155
2,13,0.20272851065232722,275,0.15252357182473655
2,14,0.2622157693084389,27,0.014975041597337771
3,1,0.4595848693388889,46,0.12637362637362637
3,2,0.48156562927149876,9,0.024725274725274724
3,3,0.6173521050554224,191,0.5247252747252747
3,5,0.4708289887024959,24,0.06593406593406594
3,6,0.5137849922862061,23,0.06318681318681318
3,10,0.4109161584123737,3,0.008241758241758242
3,11,0.43763880788115833,19,0.0521978021978022
3,12,0.48625828223844775,7,0.019230769230769232
3,13,0.20078478505799338,40,0.10989010989010989
3,14,0.19200291004403933,2,0.005494505494505495
4,1,0.5010550875139332,206,0.2005842259006816
4,2,0.47833713692907875,149,0.1450827653359299
4,3,0.531407409705942,12,0.011684518013631937
4,5,0.4464602213075547,144,0.14021421616358326
4,6,0.49417368153639907,219,0.21324245374878287
4,8,0.3268524575537972,3,0.0029211295034079843
4,10,0.31907337067501296,9,0.008763388510223954
4,13,0.16950316188007453,281,0.2736124634858812
4,14,0.21013119141528838,4,0.0038948393378773127
5,1,0.5418816278589074,240,0.19688269073010664
5,2,0.5248065808349804,148,0.1214109926168991
5,3,0.5773229215563382,49,0.04019688269073011
5,5,0.4896317101090136,355,0.2912223133716161
5,6,0.525622316169507,154,0.12633305988515175
5,9,0.4826869814240475,4,0.003281378178835111
5,10,0.3840215622131742,7,0.005742411812961444
5,11,0.45778846306185733,3,0.002461033634126333
5,12,0.49035984195997695,29,0.02378999179655455
5,13,0.20875145120298272,230,0.18867924528301888
6,1,0.5550280658519234,269,0.12266301869585043
6,2,0.5185107088558941,370,0.168718650250798
6,3,0.5527340658755701,120,0.05471956224350205
6,5,0.46841992983998376,270,0.12311901504787962
6,6,0.5187465650408251,691,0.31509347925216596
6,7,0.4518858806861176,2,0.0009119927040583675
6,9,0.4698850608464495,10,0.004559963520291838
6,10,0.409273023279609,13,0.005927952576379389
6,11,0.44909747621170026,4,0.001823985408116735
6,12,0.4807576024555643,8,0.00364797081623347
6,13,0.2129373198413643,427,0.19471044231646148
6,14,0.1396547416036727,9,0.004103967168262654
7,1,0.5556648082686911,69,0.13018867924528302
7,2,0.533656609498404,114,0.21509433962264152
7,3,0.5989376416817412,20,0.03773584905660377
7,5,0.47847998828268534,71,0.1339622641509434
7,6,0.5166605496731096,96,0.1811320754716981
7,8,0.3635971273499803,5,0.009433962264150943
7,9,0.4479258435809375,4,0.007547169811320755
7,12,0.48056882663709816,1,0.0018867924528301887
7,13,0.2243526080848373,150,0.2830188679245283
8,1,0.5789986328388623,16,0.17582417582417584
