phase,A1_actionId,C_actionId,n_context,EV,count,train_winrate,usage_rate
late,1,1,3643,0.5070354904808994,1391,0.5859094176851186,0.3818281636014274
late,10,13,2915,0.3016839815872768,900,0.22555555555555556,0.30874785591766724
late,15,1,1638,0.885556282815685,746,0.9101876675603218,0.4554334554334554
late,13,13,1790,0.24270736999978162,686,0.20262390670553937,0.38324022346368714
late,2,2,1449,0.47899528136717273,685,0.47737226277372263,0.4727398205659075
late,11,1,1525,0.49224126713934424,624,0.5673076923076923,0.40918032786885244
late,1,13,3643,0.29276492996626724,601,0.2096505823627288,0.16497392259127094
late,6,6,1794,0.4960611688095016,570,0.5035087719298246,0.3177257525083612
late,10,2,2915,0.4329212543528164,491,0.4134419551934827,0.16843910806174958
late,10,1,2915,0.4509126278097972,450,0.5355555555555556,0.15437392795883362
late,12,12,935,0.4673336113221935,443,0.45146726862302483,0.4737967914438503
late,1,2,3643,0.4982390521570839,419,0.4510739856801909,0.11501509744715893
late,13,2,1790,0.43334690433535417,412,0.46116504854368934,0.23016759776536314
late,1,6,3643,0.5023510546166085,408,0.5049019607843137,0.11199560801537195
late,1,5,3643,0.48952468392222176,357,0.45098039215686275,0.09799615701345045
late,6,13,1794,0.25187558623321377,353,0.21529745042492918,0.1967670011148272
late,2,1,1449,0.4955955371554651,301,0.5581395348837209,0.20772946859903382
late,6,2,1794,0.47690007208251023,299,0.47491638795986624,0.16666666666666666
late,5,5,1002,0.46502759308075226,290,0.496551724137931,0.2894211576846307
late,11,13,1525,0.28395694922334885,287,0.18118466898954705,0.1881967213114754
late,0,1,715,0.8510957973927038,266,0.8834586466165414,0.37202797202797205
late,1,3,3643,0.5735027725454532,261,0.6666666666666666,0.07164424924512765
late,13,6,1790,0.4812938237736681,246,0.532520325203252,0.13743016759776536
late,10,10,2915,0.41517450941106215,245,0.5061224489795918,0.08404802744425385
late,10,6,2915,0.5007326206700902,229,0.44541484716157204,0.07855917667238423
late,2,13,1449,0.2586191620777619,224,0.23660714285714285,0.15458937198067632
late,6,5,1794,0.47190880433477506,219,0.3881278538812785,0.12207357859531773
late,4,13,820,0.23234880371520292,215,0.15348837209302327,0.2621951219512195
late,6,1,1794,0.5030901621948921,214,0.5887850467289719,0.11928651059085842
late,10,5,2915,0.46372673054387115,209,0.41148325358851673,0.07169811320754717
late,5,1,1002,0.49978978068003665,192,0.5260416666666666,0.19161676646706588
late,5,13,1002,0.2495716651255554,187,0.18716577540106952,0.18662674650698602
late,4,6,820,0.4500125157985911,177,0.480225988700565,0.21585365853658536
late,13,1,1790,0.4529539747179739,171,0.5146198830409356,0.09553072625698324
late,15,6,1638,0.9062120663145008,170,0.9176470588235294,0.10378510378510379
late,11,2,1525,0.4567616161564828,170,0.4117647058823529,0.11147540983606558
late,4,1,820,0.48667610399690725,167,0.5688622754491018,0.20365853658536584
late,13,5,1790,0.4437394349854785,163,0.4294478527607362,0.09106145251396648
late,10,3,2915,0.5298305001826098,159,0.6037735849056604,0.05454545454545454
late,15,10,1638,0.7784116053530676,159,0.7861635220125787,0.09706959706959707
late,15,2,1638,0.886252849037419,154,0.922077922077922,0.09401709401709402
late,16,1,361,0.8848927947119839,148,0.8581081081081081,0.4099722991689751
late,10,12,2915,0.4816362024257693,147,0.5238095238095238,0.05042881646655232
late,3,3,288,0.6217772502125558,146,0.6986301369863014,0.5069444444444444
late,5,2,1002,0.47866540293681825,125,0.488,0.124750499001996
late,7,13,432,0.283667816123147,125,0.256,0.28935185185185186
