phase,A1_actionId,C_actionId,n_context,A1_spinId,C_spinId,EV,count,train_winrate,usage_rate
late,0,1,7,1,1,0.8342815671249332,1,1.0,0.14285714285714285
late,0,2,7,1,1,0.8202011802896135,1,1.0,0.14285714285714285
late,0,5,7,1,1,0.7972557567215512,2,0.5,0.2857142857142857
late,0,6,7,1,1,0.802576294507397,2,1.0,0.2857142857142857
late,0,13,7,1,3,0.5401960138490727,1,1.0,0.14285714285714285
late,0,1,169,2,1,0.8470585422044958,68,0.8382352941176471,0.40236686390532544
late,0,2,169,2,1,0.827688150373645,21,0.9523809523809523,0.1242603550295858
late,0,3,169,2,1,0.8638123863927565,3,1.0,0.01775147928994083
late,0,4,169,2,1,0.8469067585982262,9,0.8888888888888888,0.05325443786982249
late,0,5,169,2,1,0.8371747943883799,6,1.0,0.03550295857988166
late,0,6,169,2,1,0.8296595647700252,6,0.8333333333333334,0.03550295857988166
late,0,6,169,2,3,0.8070101392534839,2,1.0,0.011834319526627219
late,0,7,169,2,1,0.7683453013495821,11,0.8181818181818182,0.0650887573964497
late,0,7,169,2,3,0.7132439179893125,2,0.0,0.011834319526627219
late,0,10,169,2,2,0.7250939144066554,20,0.7,0.11834319526627218
late,0,10,169,2,3,0.6379742117629496,7,0.5714285714285714,0.04142011834319527
late,0,11,169,2,2,0.7573597769113415,6,0.8333333333333334,0.03550295857988166
late,0,11,169,2,3,0.6677587004244679,1,1.0,0.005917159763313609
late,0,12,169,2,2,0.790135224887723,2,1.0,0.011834319526627219
late,0,13,169,2,1,0.6131785472136586,2,0.0,0.011834319526627219
late,0,13,169,2,3,0.5274492326287227,3,1.0,0.01775147928994083
late,0,1,67,3,1,0.8532762342984126,29,0.9310344827586207,0.43283582089552236
late,0,2,67,3,1,0.8336763237322155,10,0.9,0.14925373134328357
late,0,3,67,3,1,0.8671392416425864,1,1.0,0.014925373134328358
late,0,3,67,3,3,0.8602023680565415,2,1.0,0.029850746268656716
late,0,4,67,3,1,0.8499939921956504,2,1.0,0.029850746268656716
late,0,5,67,3,1,0.8403014178030562,7,0.8571428571428571,0.1044776119402985
late,0,6,67,3,1,0.829040694792435,1,1.0,0.014925373134328358
late,0,7,67,3,1,0.7589777893414521,7,0.8571428571428571,0.1044776119402985
late,0,10,67,3,2,0.7086166967419317,2,1.0,0.029850746268656716
late,0,10,67,3,3,0.6246470455388339,2,0.5,0.029850746268656716
late,0,11,67,3,3,0.6646860246031386,1,0.0,0.014925373134328358
late,0,13,67,3,1,0.5865908114144472,1,1.0,0.014925373134328358
late,0,13,67,3,3,0.5202649314008375,1,1.0,0.014925373134328358
late,0,13,67,3,5,0.8547993940498422,1,1.0,0.014925373134328358
late,0,1,147,4,1,0.8690960901498196,56,0.9642857142857143,0.38095238095238093
late,0,2,147,4,1,0.8492980122305603,25,0.76,0.17006802721088435
late,0,3,147,4,1,0.8755604795832799,4,0.75,0.027210884353741496
late,0,3,147,4,3,0.8699244945483698,8,0.875,0.05442176870748299
late,0,5,147,4,1,0.8458519366980451,8,1.0,0.05442176870748299
late,0,6,147,4,1,0.83568658570767,16,0.8125,0.10884353741496598
late,0,6,147,4,2,0.844931542051751,1,1.0,0.006802721088435374
late,0,7,147,4,1,0.7787897039807987,4,1.0,0.027210884353741496
late,0,10,147,4,1,0.7244602206710905,1,1.0,0.006802721088435374
late,0,10,147,4,2,0.7272435583471182,4,1.0,0.027210884353741496
late,0,10,147,4,3,0.6345095398812141,1,1.0,0.006802721088435374
late,0,11,147,4,3,0.6532149020266702,2,0.5,0.013605442176870748
late,0,12,147,4,1,0.7768394750243526,1,1.0,0.006802721088435374
late,0,12,147,4,2,0.7797295056883562,2,1.0,0.013605442176870748
late,0,13,147,4,1,0.5693148126662205,4,0.25,0.027210884353741496
late,0,13,147,4,3,0.48559584098252084,9,0.7777777777777778,0.061224489795918366
late,0,14,147,4,1,0.4640831570212133,1,0.0,0.006802721088435374
late,0,1,325,5,1,0.8653225318395896,112,0.8571428571428571,0.3446153846153846
late,0,2,325,5,1,0.8489295665289553,66,0.8636363636363636,0.20307692307692307
late,0,2,325,5,3,0.8203129432582598,1,1.0,0.003076923076923077
late,0,3,325,5,1,0.8775190764336945,3,1.0,0.009230769230769232
late,0,3,325,5,3,0.885541198572702,2,1.0,0.006153846153846154
late,0,4,325,5,1,0.8631745798703067,11,0.9090909090909091,0.033846153846153845
late,0,5,325,5,1,0.8554353573941962,12,0.9166666666666666,0.036923076923076927
late,0,6,325,5,1,0.8447176650771744,20,0.85,0.06153846153846154
late,0,6,325,5,3,0.8535002681835774,7,1.0,0.021538461538461538
late,0,7,325,5,1,0.7883331224631649,5,1.0,0.015384615384615385
late,0,7,325,5,2,0.8016693700563429,1,1.0,0.003076923076923077
late,0,7,325,5,3,0.7677247572634674,2,0.5,0.006153846153846154
late,0,8,325,5,1,0.7280180114611637,1,1.0,0.003076923076923077
late,0,10,325,5,1,0.7383600676856475,1,1.0,0.003076923076923077
late,0,10,325,5,2,0.7471698515060959,40,0.775,0.12307692307692308
late,0,10,325,5,4,0.783423037509968,1,1.0,0.003076923076923077
late,0,10,325,5,5,0.838612341293163,2,1.0,0.006153846153846154
late,0,11,325,5,2,0.7688311092916488,11,0.8181818181818182,0.033846153846153845
late,0,11,325,5,3,0.6728727264517647,2,0.0,0.006153846153846154
late,0,11,325,5,4,0.7850731050316737,1,0.0,0.003076923076923077
late,0,12,325,5,2,0.8031660679560547,7,1.0,0.021538461538461538
late,0,12,325,5,3,0.7442398991813414,1,1.0,0.003076923076923077
late,0,13,325,5,1,0.6614586578970776,9,0.7777777777777778,0.027692307692307693
late,0,13,325,5,3,0.5903232875001246,7,0.42857142857142855,0.021538461538461538
late,1,1,3620,1,0,0.001362522579377426,23,0.0,0.006353591160220995
late,1,1,3620,1,1,0.5548389026073146,1355,0.5970479704797048,0.3743093922651934
late,1,1,3620,1,2,0.4831447189469848,2,1.0,0.0005524861878453039
late,1,1,3620,1,3,0.4488641119772257,2,0.0,0.0005524861878453039
late,1,1,3620,1,4,0.681977625033687,2,0.5,0.0005524861878453039
late,1,2,3620,1,0,0.0013583985859378011,21,0.0,0.005801104972375691
late,1,2,3620,1,1,0.5425966935626406,394,0.47715736040609136,0.10883977900552486
late,1,2,3620,1,3,0.4444017559423683,3,0.3333333333333333,0.0008287292817679558
late,1,3,3620,1,1,0.5946194306260372,55,0.7272727272727273,0.015193370165745856
late,1,3,3620,1,2,0.6042090788275094,9,0.3333333333333333,0.002486187845303867
late,1,3,3620,1,3,0.6010044345168482,192,0.6666666666666666,0.05303867403314917
late,1,5,3620,1,0,0.0013189105735604578,16,0.0,0.004419889502762431
late,1,5,3620,1,1,0.516415857557519,299,0.4816053511705686,0.08259668508287293
late,1,5,3620,1,2,0.498403106211302,3,0.0,0.0008287292817679558
late,1,5,3620,1,3,0.4830852973098772,38,0.42105263157894735,0.010497237569060774
late,1,6,3620,1,0,0.0013348525315132857,10,0.0,0.0027624309392265192
late,1,6,3620,1,1,0.5220386557342951,286,0.5174825174825175,0.07900552486187845
late,1,6,3620,1,2,0.5217412465231416,11,0.6363636363636364,0.0030386740331491712
late,1,6,3620,1,3,0.5228571226619406,98,0.5102040816326531,0.02707182320441989
late,1,7,3620,1,0,0.0011673075529205035,2,0.0,0.0005524861878453039
late,1,7,3620,1,2,0.4520720808164469,1,1.0,0.00027624309392265195
late,1,7,3620,1,3,0.43684164927584107,2,0.5,0.0005524861878453039
