phase,A1_actionId,C_actionId,n_context,EV,count,train_winrate,usage_rate
receive,0,10,1,0.6082077291497874,1,0.0,1.0
receive,1,1,1360,0.475193590638677,344,0.5087209302325582,0.2529411764705882
receive,1,2,1360,0.4424160309250571,202,0.46534653465346537,0.14852941176470588
receive,1,3,1360,0.4983081168090402,32,0.5,0.023529411764705882
receive,1,5,1360,0.439973032268379,200,0.43,0.14705882352941177
receive,1,6,1360,0.46470498154589723,262,0.5190839694656488,0.19264705882352942
receive,1,7,1360,0.38855157028880977,1,0.0,0.0007352941176470588
receive,1,8,1360,0.3324054830315044,6,0.8333333333333334,0.004411764705882353
receive,1,9,1360,0.35579065907942437,5,0.2,0.003676470588235294
receive,1,10,1360,0.3397241997185495,31,0.3225806451612903,0.022794117647058822
receive,1,11,1360,0.399816199319674,26,0.4230769230769231,0.01911764705882353
receive,1,12,1360,0.417792580643048,8,0.5,0.0058823529411764705
receive,1,13,1360,0.32894156951447184,235,0.2680851063829787,0.17279411764705882
receive,1,14,1360,0.26340830197200954,8,0.375,0.0058823529411764705
receive,3,1,21,0.3927244403761539,2,0.0,0.09523809523809523
receive,3,2,21,0.3703523407736365,2,0.0,0.09523809523809523
receive,3,3,21,0.49542675010212583,5,0.6,0.23809523809523808
receive,3,5,21,0.4130711167187939,2,0.5,0.09523809523809523
receive,3,6,21,0.4304967454847615,4,0.25,0.19047619047619047
receive,3,10,21,0.3233248328292597,2,0.5,0.09523809523809523
receive,3,11,21,0.3606618558839593,2,0.5,0.09523809523809523
receive,3,13,21,0.3121102330304398,2,0.5,0.09523809523809523
receive,4,1,1374,0.46659719954544376,262,0.5229007633587787,0.19068413391557495
receive,4,2,1374,0.42054100503539066,194,0.4072164948453608,0.14119359534206696
receive,4,3,1374,0.4766982309002396,8,0.75,0.005822416302765648
receive,4,5,1374,0.4096843233253061,207,0.41545893719806765,0.15065502183406113
receive,4,6,1374,0.42546433710436965,328,0.42378048780487804,0.23871906841339155
receive,4,7,1374,0.34390121117963424,1,0.0,0.000727802037845706
receive,4,8,1374,0.25816129176997676,6,0.16666666666666666,0.004366812227074236
receive,4,9,1374,0.35958495840284954,1,1.0,0.000727802037845706
receive,4,10,1374,0.3107047788957351,13,0.23076923076923078,0.009461426491994178
receive,4,11,1374,0.36055636944008546,7,0.42857142857142855,0.005094614264919942
receive,4,12,1374,0.3685765718225989,1,0.0,0.000727802037845706
receive,4,13,1374,0.27943726797226054,340,0.2647058823529412,0.24745269286754004
receive,4,14,1374,0.21252994969184053,6,0.16666666666666666,0.004366812227074236
receive,6,1,360,0.4757208442459714,48,0.6041666666666666,0.13333333333333333
receive,6,2,360,0.4326095217201962,47,0.40425531914893614,0.13055555555555556
receive,6,3,360,0.5224806912500759,15,0.6,0.041666666666666664
receive,6,5,360,0.45411113087677685,37,0.4864864864864865,0.10277777777777777
receive,6,6,360,0.48601622898116065,84,0.5,0.23333333333333334
receive,6,8,360,0.3176796379526035,1,0.0,0.002777777777777778
receive,6,9,360,0.4287941886174887,6,0.6666666666666666,0.016666666666666666
receive,6,10,360,0.3708799058449847,21,0.38095238095238093,0.058333333333333334
receive,6,11,360,0.4052107923326241,6,0.16666666666666666,0.016666666666666666
receive,6,12,360,0.4181682106169173,9,0.3333333333333333,0.025
receive,6,13,360,0.32180226648174287,85,0.3176470588235294,0.2361111111111111
receive,6,14,360,0.21571742815746203,1,0.0,0.002777777777777778
receive,7,1,570,0.49272274967652374,70,0.4857142857142857,0.12280701754385964
receive,7,2,570,0.46564535288754083,112,0.5535714285714286,0.19649122807017544
receive,7,3,570,0.5424574915622045,14,0.7142857142857143,0.02456140350877193
receive,7,4,570,0.4895751096169334,1,0.0,0.0017543859649122807
receive,7,5,570,0.4691580859214916,79,0.3924050632911392,0.13859649122807016
receive,7,6,570,0.48291758169343807,116,0.47413793103448276,0.20350877192982456
receive,7,8,570,0.2920486991079874,5,0.2,0.008771929824561403
receive,7,9,570,0.3834628599503277,4,0.25,0.007017543859649123
receive,7,10,570,0.3490651176045157,8,0.75,0.014035087719298246
receive,7,12,570,0.4195605733435035,2,0.5,0.0035087719298245615
receive,7,13,570,0.3312172240346751,158,0.27848101265822783,0.2771929824561403
receive,7,14,570,0.2310853769280138,1,0.0,0.0017543859649122807
receive,8,1,63,0.5228900738803417,9,0.4444444444444444,0.14285714285714285
