phase,A1_actionId,C_actionId,n_context,A1_spinId,C_spinId,EV,count,train_winrate,usage_rate
receive,1,1,1346,1,0,0.001346540238577104,3,0.0,0.002228826151560178
receive,1,1,1346,1,1,0.5132452449761737,337,0.516320474777448,0.25037147102526003
receive,1,1,1346,1,4,0.6266885324403578,1,1.0,0.0007429420505200594
receive,1,2,1346,1,0,0.0012833682404220239,4,0.0,0.0029717682020802376
receive,1,2,1346,1,1,0.47629084335712096,193,0.47668393782383417,0.14338781575037146
receive,1,2,1346,1,3,0.38209507453144687,5,0.4,0.003714710252600297
receive,1,3,1346,1,1,0.5056118598860811,9,0.5555555555555556,0.006686478454680535
receive,1,3,1346,1,2,0.517437751797505,3,0.3333333333333333,0.002228826151560178
receive,1,3,1346,1,3,0.5293554297739093,18,0.5555555555555556,0.01337295690936107
receive,1,5,1346,1,0,0.0012342717218220716,5,0.0,0.003714710252600297
receive,1,5,1346,1,1,0.4542533316213599,172,0.45348837209302323,0.1277860326894502
receive,1,5,1346,1,2,0.4389611806852607,3,0.6666666666666666,0.002228826151560178
receive,1,5,1346,1,3,0.44135733426096996,18,0.2222222222222222,0.01337295690936107
receive,1,6,1346,1,0,0.0013136385085548879,2,0.0,0.0014858841010401188
receive,1,6,1346,1,1,0.471266676645628,180,0.5055555555555555,0.1337295690936107
receive,1,6,1346,1,2,0.4732999440269098,2,0.0,0.0014858841010401188
receive,1,6,1346,1,3,0.4962761396499572,76,0.5657894736842105,0.05646359583952452
receive,1,7,1346,1,0,0.0011395674903517076,1,0.0,0.0007429420505200594
receive,1,8,1346,1,1,0.33800761061151136,3,1.0,0.002228826151560178
receive,1,8,1346,1,3,0.3484788128538787,3,0.6666666666666666,0.002228826151560178
receive,1,9,1346,1,2,0.3679187266095113,3,0.0,0.002228826151560178
receive,1,9,1346,1,5,0.5396356617392326,1,1.0,0.0007429420505200594
receive,1,10,1346,1,0,0.0010439508206495363,1,0.0,0.0007429420505200594
receive,1,10,1346,1,2,0.34829232222093903,28,0.32142857142857145,0.020802377414561663
receive,1,10,1346,1,3,0.3243642310131057,1,1.0,0.0007429420505200594
receive,1,11,1346,1,2,0.4109746787706901,19,0.42105263157894735,0.01411589895988113
receive,1,11,1346,1,3,0.3758322675482275,7,0.42857142857142855,0.005200594353640416
receive,1,12,1346,1,2,0.43014823305460415,8,0.5,0.005943536404160475
receive,1,13,1346,1,0,0.0012722244523058856,20,0.0,0.014858841010401188
receive,1,13,1346,1,1,0.34203370930278143,86,0.313953488372093,0.0638930163447251
receive,1,13,1346,1,3,0.3174365767178692,127,0.2755905511811024,0.09435364041604755
receive,1,14,1346,1,1,0.26226577640897086,4,0.5,0.0029717682020802376
receive,1,14,1346,1,3,0.2949218031973714,3,0.3333333333333333,0.002228826151560178
receive,1,3,3,2,1,0.501809759455652,1,0.0,0.3333333333333333
receive,1,13,3,2,3,0.3634125792182397,1,1.0,0.3333333333333333
receive,1,14,3,2,1,0.30555614823038485,1,0.0,0.3333333333333333
receive,1,1,5,3,1,0.5021092245655703,1,0.0,0.2
receive,1,6,5,3,2,0.4667391118288842,1,1.0,0.2
receive,1,9,5,3,2,0.39075529985223345,1,0.0,0.2
receive,1,10,5,3,2,0.37956595478717214,1,0.0,0.2
receive,1,13,5,3,3,0.28016454711472927,1,0.0,0.2
receive,1,1,6,4,1,0.5559991798190903,2,0.0,0.3333333333333333
receive,1,3,6,4,3,0.5629624658682356,1,0.0,0.16666666666666666
receive,1,5,6,4,1,0.49649129379170415,2,1.0,0.3333333333333333
receive,1,6,6,4,1,0.5267515288608905,1,1.0,0.16666666666666666
receive,3,1,5,1,1,0.44791843449497043,1,0.0,0.2
receive,3,2,5,1,1,0.40457399153361323,2,0.0,0.4
receive,3,6,5,1,1,0.3879187559892273,1,0.0,0.2
receive,3,13,5,1,1,0.2904973255489033,1,0.0,0.2
receive,3,3,7,2,2,0.511087574473686,2,0.5,0.2857142857142857
receive,3,6,7,2,2,0.43321750128026554,2,0.0,0.2857142857142857
receive,3,10,7,2,2,0.3625582321054667,1,1.0,0.14285714285714285
receive,3,10,7,2,3,0.33944169099241484,1,0.0,0.14285714285714285
receive,3,13,7,2,3,0.33475934710393535,1,1.0,0.14285714285714285
receive,3,1,9,3,1,0.47998523234357904,1,0.0,0.1111111111111111
receive,3,3,9,3,3,0.586050729729426,3,0.6666666666666666,0.3333333333333333
receive,3,5,9,3,0,0.0011996889595186988,1,0.0,0.1111111111111111
receive,3,5,9,3,3,0.47811138136014897,1,1.0,0.1111111111111111
receive,3,6,9,3,3,0.5056585712958979,1,1.0,0.1111111111111111
receive,3,11,9,3,2,0.40594760295342036,2,0.5,0.2222222222222222
