A1_actionId,A1_spinId,C_actionId,C_spinId,EV,count,usage_rate
0,1,2,0,0.9520476139145748,1,0.25
0,1,5,1,0.7655222249193361,2,0.5
0,1,6,1,0.7897198633326232,1,0.25
0,2,1,0,0.9697232971468325,12,0.07407407407407407
0,2,1,1,0.795118468808077,45,0.2777777777777778
0,2,1,3,0.9737905927642684,22,0.13580246913580246
0,2,2,1,0.792789546380971,13,0.08024691358024691
0,2,2,3,0.9729296109805936,8,0.04938271604938271
0,2,4,0,0.9778355802550226,3,0.018518518518518517
0,2,5,1,0.7935002234272576,2,0.012345679012345678
0,2,6,3,0.9368307835903011,1,0.006172839506172839
0,2,7,1,0.7501960392086965,13,0.08024691358024691
0,2,10,1,0.8303455356120105,27,0.16666666666666666
0,2,10,3,0.8750814770682669,2,0.012345679012345678
0,2,11,1,0.8680579679144295,6,0.037037037037037035
0,2,13,1,0.7224955006986686,8,0.04938271604938271
0,3,1,0,0.9737174033507653,3,0.061224489795918366
0,3,1,1,0.8207211815505107,17,0.3469387755102041
0,3,2,0,0.9711026840942207,4,0.08163265306122448
0,3,2,1,0.8160788581687617,5,0.10204081632653061
0,3,2,3,0.9775558704321171,3,0.061224489795918366
0,3,6,1,0.8850652785104538,1,0.02040816326530612
0,3,7,1,0.8137858979031504,6,0.12244897959183673
0,3,10,1,0.8737955597852005,4,0.08163265306122448
0,3,11,1,0.8835367763591313,2,0.04081632653061224
0,3,13,0,0.6962943685223939,1,0.02040816326530612
0,3,13,1,0.7898127065091924,3,0.061224489795918366
0,4,1,0,0.9788765946151752,5,0.032679738562091505
0,4,1,1,0.8541369956700078,25,0.16339869281045752
0,4,1,3,0.9622112714134554,31,0.20261437908496732
0,4,2,0,0.976021759889759,7,0.0457516339869281
0,4,2,1,0.8456753591383999,14,0.0915032679738562
0,4,2,3,0.9604550788869284,10,0.06535947712418301
0,4,3,0,0.9901012147629448,1,0.006535947712418301
0,4,3,3,0.9492947608536185,8,0.05228758169934641
0,4,5,1,0.8677772572207475,6,0.0392156862745098
0,4,5,3,0.946393393878994,3,0.0196078431372549
0,4,6,1,0.9067037961392684,16,0.10457516339869281
0,4,6,3,0.9480573844905612,5,0.032679738562091505
0,4,7,1,0.8577045640497171,1,0.006535947712418301
0,4,7,3,0.9254400860408417,3,0.0196078431372549
0,4,10,3,0.8942130272436593,1,0.006535947712418301
0,4,11,1,0.8711471495954123,3,0.0196078431372549
0,4,12,1,0.939512088027109,2,0.013071895424836602
0,4,13,1,0.7216048724309803,11,0.0718954248366013
0,4,14,1,0.5316416186908143,1,0.006535947712418301
