phase,A1_actionId,C_actionId,n_context,B1_playerId,EV,count,train_winrate,usage_rate
front3,15,1,21,0,0.544159900508877,11,0.6363636363636364,0.5238095238095238
front3,15,2,21,0,0.5171419135211164,4,0.5,0.19047619047619047
front3,15,4,21,0,0.5364764974867151,1,0.0,0.047619047619047616
front3,15,6,21,0,0.5048475909969922,3,1.0,0.14285714285714285
front3,15,10,21,0,0.4264701039648647,1,0.0,0.047619047619047616
front3,15,11,21,0,0.4328927499720031,1,0.0,0.047619047619047616
front3,15,1,15,1,0.5515222147729595,3,0.3333333333333333,0.2
front3,15,2,15,1,0.5330878209034015,5,0.4,0.3333333333333333
front3,15,7,15,1,0.4924919770835622,1,1.0,0.06666666666666667
front3,15,10,15,1,0.46952019161895925,3,0.6666666666666666,0.2
front3,15,13,15,1,0.3484992284073244,3,0.3333333333333333,0.2
front3,15,1,27,2,0.5850218664679877,1,0.0,0.037037037037037035
front3,15,3,27,2,0.5951709900204872,5,0.8,0.18518518518518517
front3,15,5,27,2,0.5446030259500015,3,0.6666666666666666,0.1111111111111111
front3,15,6,27,2,0.5447993611569669,5,0.8,0.18518518518518517
front3,15,10,27,2,0.4897242801048329,8,0.125,0.2962962962962963
front3,15,13,27,2,0.36852892482771,5,0.4,0.18518518518518517
front3,0,1,31,3,0.6514737695440571,2,0.5,0.06451612903225806
front3,0,2,31,3,0.6279739843021015,5,0.4,0.16129032258064516
front3,0,5,31,3,0.5972522030775473,2,1.0,0.06451612903225806
front3,0,6,31,3,0.5946071523922385,3,0.6666666666666666,0.0967741935483871
front3,0,7,31,3,0.556289371905542,3,0.6666666666666666,0.0967741935483871
front3,0,10,31,3,0.5125414744569972,12,0.5,0.3870967741935484
front3,0,11,31,3,0.5181906925289986,4,0.5,0.12903225806451613
front3,15,1,32,3,0.6167477858484061,5,0.8,0.15625
front3,15,2,32,3,0.5994367972510756,1,1.0,0.03125
front3,15,3,32,3,0.6128826755977886,1,1.0,0.03125
front3,15,6,32,3,0.5692703987762996,8,0.625,0.25
front3,15,7,32,3,0.5236241579606149,4,0.25,0.125
front3,15,10,32,3,0.48689763798288505,6,0.6666666666666666,0.1875
front3,15,11,32,3,0.4891504907124309,3,0.6666666666666666,0.09375
front3,15,13,32,3,0.36217051824632807,4,0.25,0.125
front3,16,1,64,3,0.5878106926992064,11,0.5454545454545454,0.171875
front3,16,2,64,3,0.5711868503736369,2,0.0,0.03125
front3,16,3,64,3,0.5875580436500877,4,0.75,0.0625
front3,16,5,64,3,0.5484098246994648,2,1.0,0.03125
front3,16,6,64,3,0.5488167964760569,5,0.8,0.078125
front3,16,7,64,3,0.5183629795259231,22,0.5454545454545454,0.34375
front3,16,10,64,3,0.4982011636696764,13,0.6923076923076923,0.203125
front3,16,11,64,3,0.49972360988504094,3,0.6666666666666666,0.046875
front3,16,13,64,3,0.3659321086731415,2,0.0,0.03125
front3,18,6,1,3,0.5603724976390525,1,1.0,1.0
front3,15,1,21,4,0.6163768741463267,7,0.5714285714285714,0.3333333333333333
front3,15,2,21,4,0.6044660094224928,1,1.0,0.047619047619047616
front3,15,8,21,4,0.5116447633854021,1,1.0,0.047619047619047616
front3,15,10,21,4,0.528347034290996,2,0.5,0.09523809523809523
front3,15,12,21,4,0.5369427944930129,10,0.7,0.47619047619047616
front3,15,1,13,5,0.5811231629581725,8,0.75,0.6153846153846154
front3,15,3,13,5,0.5785567170282424,1,0.0,0.07692307692307693
front3,15,6,13,5,0.546793498644016,3,1.0,0.23076923076923078
front3,15,10,13,5,0.4863429134616889,1,0.0,0.07692307692307693
front3,17,1,6,5,0.6413320783011104,2,0.5,0.3333333333333333
front3,17,3,6,5,0.6378869564146842,1,0.0,0.16666666666666666
front3,17,5,6,5,0.6135479915274137,1,1.0,0.16666666666666666
front3,17,6,6,5,0.6143881158437586,1,1.0,0.16666666666666666
front3,17,13,6,5,0.4282159756921587,1,0.0,0.16666666666666666
front3,15,1,23,6,0.587334754086329,16,0.625,0.6956521739130435
front3,15,5,23,6,0.5533006778431058,4,0.5,0.17391304347826086
front3,15,6,23,6,0.5560393565007667,2,0.5,0.08695652173913043
front3,15,10,23,6,0.49313826449082654,1,1.0,0.043478260869565216
front3,16,1,3,6,0.5892815407206196,2,0.5,0.6666666666666666
front3,16,3,3,6,0.5851499000894104,1,1.0,0.3333333333333333
front3,0,1,24,7,0.6307788229432022,16,0.625,0.6666666666666666
front3,0,6,24,7,0.5929356767994786,1,1.0,0.041666666666666664
front3,0,7,24,7,0.57070520454224,1,0.0,0.041666666666666664
front3,0,10,24,7,0.5364944758118465,3,0.6666666666666666,0.125
front3,0,11,24,7,0.5396041739067239,1,0.0,0.041666666666666664
front3,0,13,24,7,0.38664294445794006,2,0.5,0.08333333333333333
front3,15,1,47,8,0.5881381616423462,23,0.6086956521739131,0.48936170212765956
front3,15,2,47,8,0.5660412421560587,1,1.0,0.02127659574468085
front3,15,5,47,8,0.5489499045991981,6,0.5,0.1276595744680851
front3,15,6,47,8,0.5496224046086287,11,0.5454545454545454,0.23404255319148937
front3,15,10,47,8,0.48670125394134195,2,0.0,0.0425531914893617
front3,15,11,47,8,0.4872249626400501,2,0.0,0.0425531914893617
front3,15,13,47,8,0.35661842217682765,2,0.5,0.0425531914893617
front3,16,1,26,8,0.5577091468263358,17,0.6470588235294118,0.6538461538461539
front3,16,5,26,8,0.5245479755919683,5,0.2,0.19230769230769232
front3,16,6,26,8,0.5245479755919684,1,1.0,0.038461538461538464
front3,16,10,26,8,0.48099432680931986,2,1.0,0.07692307692307693
front3,16,11,26,8,0.4841419437154516,1,0.0,0.038461538461538464
front3,15,1,4,9,0.4023651002094595,2,0.0,0.5
front3,15,7,4,9,0.35235411197365846,1,1.0,0.25
front3,15,10,4,9,0.32778994801390743,1,1.0,0.25
front3,15,1,23,10,0.5777946307869969,16,0.5,0.6956521739130435
front3,15,4,23,10,0.5731361926791285,1,1.0,0.043478260869565216
front3,15,7,23,10,0.509004833609515,2,0.0,0.08695652173913043
front3,15,10,23,10,0.4764066338558377,3,0.6666666666666666,0.13043478260869565
front3,15,13,23,10,0.3462914960291571,1,1.0,0.043478260869565216
front3,16,7,4,10,0.4963061674113335,1,1.0,0.25
front3,16,10,4,10,0.46273442519577224,2,0.0,0.5
front3,16,13,4,10,0.33645651464744664,1,1.0,0.25
front3,17,1,1,10,0.5388257846298521,1,1.0,1.0
front3,15,1,98,11,0.49814719773550026,68,0.5588235294117647,0.6938775510204082
front3,15,2,98,11,0.47595499699339006,4,0.5,0.04081632653061224
front3,15,3,98,11,0.49484021087596025,2,0.0,0.02040816326530612
front3,15,4,98,11,0.501894223993442,1,0.0,0.01020408163265306
front3,15,5,98,11,0.46698440281497827,1,0.0,0.01020408163265306
front3,15,6,98,11,0.46844838868719657,2,0.5,0.02040816326530612
front3,15,7,98,11,0.44491017438783087,1,0.0,0.01020408163265306
front3,15,10,98,11,0.41819581893236585,14,0.21428571428571427,0.14285714285714285
front3,15,11,98,11,0.41407295345857664,3,0.3333333333333333,0.030612244897959183
front3,15,13,98,11,0.276440143051363,1,1.0,0.01020408163265306
front3,15,14,98,11,0.21807022431851925,1,0.0,0.01020408163265306
front3,16,1,31,11,0.5030159148072415,20,0.6,0.6451612903225806
front3,16,2,31,11,0.4809023749389323,2,1.0,0.06451612903225806
front3,16,3,31,11,0.5003449351410649,1,1.0,0.03225806451612903
front3,16,10,31,11,0.4170090606860256,2,0.5,0.06451612903225806
front3,16,13,31,11,0.2824491765246036,6,0.16666666666666666,0.1935483870967742
front3,17,1,2,11,0.5303557763305689,1,1.0,0.5
front3,17,3,2,11,0.5327094676213621,1,1.0,0.5
front3,15,1,27,12,0.43708446023513964,4,0.25,0.14814814814814814
front3,15,2,27,12,0.4173281980188239,2,0.0,0.07407407407407407
front3,15,3,27,12,0.4292473194598474,3,0.6666666666666666,0.1111111111111111
front3,15,5,27,12,0.40548789585607115,5,0.4,0.18518518518518517
front3,15,6,27,12,0.4066608362431587,2,0.5,0.07407407407407407
front3,15,10,27,12,0.3329349554380214,5,0.6,0.18518518518518517
front3,15,12,27,12,0.3537101013246597,2,0.5,0.07407407407407407
front3,15,13,27,12,0.21837354464211445,4,0.0,0.14814814814814814
