phase,A1_actionId,C_actionId,n_context,B1_playerId,A1_spinId,C_spinId,EV,count,train_winrate,usage_rate
front3,15,2,3,0,1,1,0.5261669721062076,3,0.3333333333333333,1.0
front3,15,1,1,0,2,1,0.567030295503787,1,1.0,1.0
front3,15,1,2,0,3,1,0.567459440650641,1,1.0,0.5
front3,15,6,2,0,3,3,0.5413910193671524,1,1.0,0.5
front3,15,1,12,0,4,0,0.015673490870612056,1,0.0,0.08333333333333333
front3,15,1,12,0,4,1,0.5730433400018894,8,0.625,0.6666666666666666
front3,15,2,12,0,4,1,0.5379984427805738,1,1.0,0.08333333333333333
front3,15,6,12,0,4,3,0.5363752661891042,2,1.0,0.16666666666666666
front3,15,4,3,0,5,4,0.5618009762428452,1,0.0,0.3333333333333333
front3,15,10,3,0,5,2,0.43083431817358536,1,0.0,0.3333333333333333
front3,15,11,3,0,5,2,0.44250586075434944,1,0.0,0.3333333333333333
front3,15,1,4,1,2,1,0.5999442815212199,1,1.0,0.25
front3,15,2,4,1,2,1,0.5685336531374854,2,0.0,0.5
front3,15,10,4,1,2,2,0.5094277293353784,1,0.0,0.25
front3,15,2,3,1,4,1,0.5477868229024865,1,0.0,0.3333333333333333
front3,15,13,3,1,4,3,0.35970946456751846,2,0.5,0.6666666666666666
front3,15,1,8,1,5,0,0.018552434362085715,1,0.0,0.125
front3,15,1,8,1,5,1,0.5540840860111577,1,0.0,0.125
front3,15,2,8,1,5,1,0.5347633035468541,2,1.0,0.25
front3,15,7,8,1,5,3,0.5238537719212748,1,1.0,0.125
front3,15,10,8,1,5,2,0.5221936358910911,2,1.0,0.25
front3,15,13,8,1,5,3,0.4191449251275925,1,0.0,0.125
front3,15,6,1,2,2,3,0.5486795035970244,1,1.0,1.0
front3,15,3,13,2,3,3,0.6362848307310736,5,0.8,0.38461538461538464
front3,15,5,13,2,3,1,0.560429962734691,3,0.6666666666666666,0.23076923076923078
front3,15,6,13,2,3,3,0.5739726051811544,3,0.6666666666666666,0.23076923076923078
front3,15,13,13,2,3,3,0.40139184171451026,2,0.5,0.15384615384615385
front3,15,1,7,2,4,1,0.5712443751722204,1,0.0,0.14285714285714285
front3,15,6,7,2,4,3,0.5707913964615859,1,1.0,0.14285714285714285
front3,15,10,7,2,4,0,0.015134813264810126,1,0.0,0.14285714285714285
front3,15,10,7,2,4,2,0.5201619964933115,2,0.0,0.2857142857142857
front3,15,13,7,2,4,3,0.3947729451550188,2,0.0,0.2857142857142857
front3,15,10,6,2,5,2,0.5376675506814435,5,0.2,0.8333333333333334
front3,15,13,6,2,5,3,0.4328063436811402,1,1.0,0.16666666666666666
front3,0,1,31,3,0,1,0.621251868801139,2,0.5,0.06451612903225806
front3,0,2,31,3,0,1,0.5895068605155774,5,0.4,0.16129032258064516
front3,0,5,31,3,0,1,0.5923794047828378,2,1.0,0.06451612903225806
front3,0,6,31,3,0,3,0.5969429901502653,3,0.6666666666666666,0.0967741935483871
front3,0,7,31,3,0,3,0.5455464952561762,3,0.6666666666666666,0.0967741935483871
front3,0,10,31,3,0,2,0.5237071689080646,12,0.5,0.3870967741935484
front3,0,11,31,3,0,3,0.49585930804189543,4,0.5,0.12903225806451613
front3,15,10,1,3,2,2,0.4841413563552018,1,1.0,1.0
front3,15,1,11,3,4,1,0.6155807218289223,2,1.0,0.18181818181818182
front3,15,2,11,3,4,1,0.5873940342795364,1,1.0,0.09090909090909091
front3,15,3,11,3,4,2,0.6416712129827075,1,1.0,0.09090909090909091
front3,15,6,11,3,4,2,0.593054954043039,1,0.0,0.09090909090909091
front3,15,6,11,3,4,3,0.592727786051247,5,0.8,0.45454545454545453
front3,15,13,11,3,4,3,0.39493254407778444,1,0.0,0.09090909090909091
front3,15,1,20,3,5,1,0.5783066859076851,3,0.6666666666666666,0.15
front3,15,6,20,3,5,3,0.5605033052360042,2,0.5,0.1
front3,15,7,20,3,5,1,0.5067106156759291,1,0.0,0.05
front3,15,7,20,3,5,3,0.5034896313066136,3,0.3333333333333333,0.15
front3,15,10,20,3,5,2,0.4882149543332157,5,0.6,0.25
front3,15,11,20,3,5,2,0.49403586975942015,3,0.6666666666666666,0.15
front3,15,13,20,3,5,3,0.37605538193804633,3,0.3333333333333333,0.15
front3,16,6,1,3,1,3,0.5974822025134673,1,0.0,1.0
front3,16,10,4,3,2,2,0.5210594510515448,3,0.6666666666666666,0.75
front3,16,11,4,3,2,2,0.5216224544998089,1,0.0,0.25
front3,16,1,1,3,3,1,0.6038721404045535,1,1.0,1.0
front3,16,2,8,3,4,1,0.569051056728598,2,0.0,0.25
front3,16,3,8,3,4,2,0.6258406382323791,2,0.5,0.25
