phase,A1_actionId,C_actionId,n_context,B1_playerId,EV,count,train_winrate,usage_rate
late,1,1,5,0,0.6113960545725725,2,1.0,0.4
late,1,2,5,0,0.5897639193768397,1,1.0,0.2
late,1,5,5,0,0.5766058186201276,1,1.0,0.2
late,1,13,5,0,0.3100664819998585,1,1.0,0.2
late,2,2,5,0,0.559988889181453,3,0.3333333333333333,0.6
late,2,13,5,0,0.2880923934309757,2,0.0,0.4
late,4,1,2,0,0.824669978913213,1,1.0,0.5
late,4,2,2,0,0.8006616990148602,1,1.0,0.5
late,5,6,1,0,0.5594474727999303,1,0.0,1.0
late,6,6,2,0,0.5547096435683161,2,1.0,1.0
late,10,2,1,0,0.6317422495842835,1,1.0,1.0
late,11,1,2,0,0.7176121217588343,1,1.0,0.5
late,11,7,2,0,0.6565522099847851,1,0.0,0.5
late,13,2,1,0,0.5151403899954652,1,0.0,1.0
late,1,2,2,1,0.6191853866571353,1,0.0,0.5
late,1,3,2,1,0.6315614459483289,1,1.0,0.5
late,2,2,6,1,0.57011606459404,6,0.3333333333333333,1.0
late,4,2,1,1,0.719998953961511,1,1.0,1.0
late,10,1,6,1,0.7079567418952184,3,1.0,0.5
late,10,10,6,1,0.6186778075429268,1,1.0,0.16666666666666666
late,10,13,6,1,0.46592857947788957,2,0.5,0.3333333333333333
late,13,2,6,1,0.5594983873667806,3,1.0,0.5
late,13,13,6,1,0.2880137816160305,3,0.0,0.5
late,3,3,1,2,0.6516660816440362,1,0.0,1.0
late,5,3,4,2,0.6083495478746719,1,1.0,0.25
late,5,5,4,2,0.5596609364264618,1,1.0,0.25
late,5,6,4,2,0.5573817372018042,2,0.5,0.5
late,6,3,5,2,0.6345634076847501,1,1.0,0.2
late,6,5,5,2,0.5550032454605734,1,1.0,0.2
late,6,6,5,2,0.5550032454605734,2,0.5,0.4
late,6,13,5,2,0.27336059723854506,1,1.0,0.2
late,7,5,1,2,0.6575127328557036,1,0.0,1.0
late,10,3,16,2,0.6625347090317817,2,1.0,0.125
late,10,5,16,2,0.6547347278162466,1,1.0,0.0625
late,10,6,16,2,0.6547347278162466,1,0.0,0.0625
late,10,10,16,2,0.5923959800873753,12,0.3333333333333333,0.75
late,13,3,4,2,0.5689800192271324,1,1.0,0.25
late,13,13,4,2,0.24539071162691745,3,0.6666666666666666,0.75
late,1,1,15,3,0.6766945043375561,3,0.6666666666666666,0.2
late,1,2,15,3,0.6593925296045907,1,1.0,0.06666666666666667
late,1,3,15,3,0.6799277910597236,1,0.0,0.06666666666666667
late,1,5,15,3,0.6305671472190492,1,0.0,0.06666666666666667
late,1,6,15,3,0.6280712701973955,5,0.8,0.3333333333333333
