phase,A1_actionId,C_actionId,n_context,B1_playerId,A1_spinId,C_spinId,EV,count,train_winrate,usage_rate
late,1,1,5,0,1,1,0.6009646661442185,2,1.0,0.4
late,1,2,5,0,1,1,0.5769468246066068,1,1.0,0.2
late,1,5,5,0,1,1,0.5733960480942468,1,1.0,0.2
late,1,13,5,0,1,3,0.34224846899672506,1,1.0,0.2
late,2,2,5,0,1,1,0.5332828479850766,3,0.3333333333333333,0.6
late,2,13,5,0,1,3,0.30350268113539364,2,0.0,0.4
late,4,1,2,0,4,1,0.8246699789132131,1,1.0,0.5
late,4,2,2,0,4,1,0.8006616990148602,1,1.0,0.5
late,5,6,1,0,1,3,0.5594474727999303,1,0.0,1.0
late,6,6,2,0,3,3,0.5547096435683161,2,1.0,1.0
late,10,2,1,0,2,1,0.6317422495842835,1,1.0,1.0
late,11,1,2,0,2,1,0.7176121217588343,1,1.0,0.5
late,11,7,2,0,2,1,0.6565522099847851,1,0.0,0.5
late,13,2,1,0,3,1,0.5151403899954652,1,0.0,1.0
late,1,2,2,1,1,1,0.6104989745250335,1,0.0,0.5
late,1,3,2,1,1,2,0.662217251059422,1,1.0,0.5
late,2,2,6,1,1,1,0.57011606459404,6,0.3333333333333333,1.0
late,4,2,1,1,1,1,0.719998953961511,1,1.0,1.0
late,10,1,6,1,2,1,0.6956069204950909,3,1.0,0.5
late,10,10,6,1,2,2,0.6262088505313893,1,1.0,0.16666666666666666
late,10,13,6,1,2,3,0.5007817739643218,2,0.5,0.3333333333333333
late,13,2,6,1,3,1,0.5355828392111043,3,1.0,0.5
late,13,13,6,1,3,3,0.30743428069552303,3,0.0,0.5
late,3,3,1,2,3,3,0.6516660816440362,1,0.0,1.0
late,5,3,4,2,1,3,0.6239424510264135,1,1.0,0.25
late,5,5,4,2,1,1,0.5452627832252661,1,1.0,0.25
late,5,6,4,2,1,3,0.5623094861993296,2,0.5,0.5
late,6,3,5,2,3,3,0.6426405898252822,1,1.0,0.2
late,6,5,5,2,3,1,0.5407593317087723,1,1.0,0.2
late,6,6,5,2,3,3,0.5595187795704526,2,0.5,0.4
late,6,13,5,2,3,3,0.2819982591262754,1,1.0,0.2
