phase,A1_actionId,C_actionId,n_context,B1_playerId,A1_spinId,C_spinId,EV,count,train_winrate,usage_rate
receive,1,6,1,0,1,3,0.5020157814107514,1,0.0,1.0
receive,4,1,8,0,4,1,0.5760751295388191,1,1.0,0.125
receive,4,2,8,0,4,1,0.5112673293051928,1,1.0,0.125
receive,4,5,8,0,4,1,0.4964615802622766,2,0.0,0.25
receive,4,6,8,0,4,3,0.5196104975640476,1,0.0,0.125
receive,4,13,8,0,4,3,0.3200833241312805,3,0.0,0.375
receive,7,5,1,0,1,1,0.4876814796818668,1,0.0,1.0
receive,10,2,2,0,2,1,0.4865507454003791,2,0.5,1.0
receive,11,1,7,0,2,1,0.5120249838763463,4,0.75,0.5714285714285714
receive,11,7,7,0,2,1,0.41505331456715405,2,0.0,0.2857142857142857
receive,11,13,7,0,2,3,0.2952132461815218,1,0.0,0.14285714285714285
receive,11,1,2,0,3,1,0.5494661931453135,1,1.0,0.5
receive,11,13,2,0,3,3,0.2516816295517481,1,0.0,0.5
receive,1,2,4,1,1,1,0.5116605118155553,2,0.5,0.5
receive,1,3,4,1,1,2,0.5665036171135135,1,1.0,0.25
receive,1,13,4,1,1,3,0.3769561671786243,1,0.0,0.25
receive,4,2,1,1,1,1,0.5077436786483088,1,1.0,1.0
receive,10,1,13,1,2,1,0.5880885692950694,5,0.4,0.38461538461538464
receive,10,2,13,1,2,1,0.5266546687058316,3,0.6666666666666666,0.23076923076923078
receive,10,10,13,1,2,2,0.48582417322559446,2,0.5,0.15384615384615385
receive,10,13,13,1,2,3,0.42787728364159544,3,1.0,0.23076923076923078
receive,6,10,1,2,2,2,0.4372440385535888,1,0.0,1.0
receive,6,3,4,2,3,3,0.5576745814535875,1,1.0,0.25
receive,6,10,4,2,3,2,0.4393554103523346,1,1.0,0.25
receive,6,13,4,2,3,3,0.2906082606884051,2,1.0,0.5
receive,7,10,1,2,3,2,0.45910195426236877,1,1.0,1.0
receive,10,3,18,2,2,3,0.5652614812520336,3,0.6666666666666666,0.16666666666666666
receive,10,5,18,2,2,1,0.4826248068481667,1,1.0,0.05555555555555555
receive,10,6,18,2,2,3,0.4966937447966821,1,1.0,0.05555555555555555
receive,10,10,18,2,2,2,0.45450375217428096,12,0.4166666666666667,0.6666666666666666
receive,10,13,18,2,2,0,0.016182634549626405,1,0.0,0.05555555555555555
