phase,A1_actionId,C_actionId,n_context,A1_playerId,EV,count,train_winrate,usage_rate
late,1,2,4,0,0.5098712678087366,2,0.5,0.5
late,1,5,4,0,0.4915699435311031,1,0.0,0.25
late,1,13,4,0,0.2674793750583763,1,0.0,0.25
late,2,1,3,0,0.5249723431939964,1,1.0,0.3333333333333333
late,2,2,3,0,0.5092593550113026,2,0.5,0.6666666666666666
late,4,6,1,0,0.009338519337881048,1,0.0,1.0
late,5,5,1,0,0.4758413848953306,1,0.0,1.0
late,6,2,6,0,0.41094592258347423,4,0.75,0.6666666666666666
late,6,5,6,0,0.3923093293010393,1,0.0,0.16666666666666666
late,6,13,6,0,0.17774137233409645,1,0.0,0.16666666666666666
late,7,5,4,0,0.38518935223790857,1,0.0,0.25
late,7,6,4,0,0.37896442290165844,1,0.0,0.25
late,7,13,4,0,0.20734634422659243,2,0.0,0.5
late,10,2,1,0,0.4818455719553725,1,0.0,1.0
late,11,1,3,0,0.5234117127303399,1,1.0,0.3333333333333333
late,11,2,3,0,0.5027433106622191,1,0.0,0.3333333333333333
late,11,13,3,0,0.20602576693990793,1,0.0,0.3333333333333333
late,13,1,3,0,0.3300174542792303,1,0.0,0.3333333333333333
late,13,2,3,0,0.3088930992465851,1,0.0,0.3333333333333333
late,13,5,3,0,0.3001220874508259,1,0.0,0.3333333333333333
late,15,1,8,0,0.904724909376688,2,1.0,0.25
late,15,2,8,0,0.8793268006206683,2,1.0,0.25
late,15,6,8,0,0.8775617505685737,1,1.0,0.125
late,15,7,8,0,0.859652762703516,2,1.0,0.25
late,15,11,8,0,0.7852332757864334,1,1.0,0.125
late,17,1,4,0,0.9155055019404666,1,1.0,0.25
late,17,6,4,0,0.8931938655719682,2,1.0,0.5
late,17,11,4,0,0.8001328776765676,1,1.0,0.25
late,1,2,3,1,0.5195255794099669,1,1.0,0.3333333333333333
late,1,13,3,1,0.2578334114444776,2,0.0,0.6666666666666666
late,2,2,6,1,0.48809465989602324,3,1.0,0.5
late,2,13,6,1,0.23353985984905834,3,0.0,0.5
late,4,2,2,1,0.46812586311940296,2,0.5,1.0
late,10,1,8,1,0.5235117464333564,1,0.0,0.125
late,10,2,8,1,0.5008150040590005,3,0.6666666666666666,0.375
late,10,10,8,1,0.42751816824423455,1,0.0,0.125
late,10,13,8,1,0.27319486250845654,3,0.0,0.375
late,13,2,8,1,0.43468930404413764,2,1.0,0.25
late,13,13,8,1,0.1841651944480287,6,0.16666666666666666,0.75
late,15,2,3,1,0.8698739919486825,1,1.0,0.3333333333333333
late,15,10,3,1,0.7663367895440594,1,1.0,0.3333333333333333
late,15,13,3,1,0.6320949594353791,1,0.0,0.3333333333333333
late,1,1,2,2,0.5160085989369461,2,0.5,1.0
late,5,6,4,2,0.47895331395479407,2,0.0,0.5
late,5,13,4,2,0.23193615719979277,2,0.0,0.5
late,6,1,13,2,0.5354088694453746,1,0.0,0.07692307692307693
late,6,3,13,2,0.5044092261478783,1,1.0,0.07692307692307693
late,6,5,13,2,0.47595407232327636,4,0.75,0.3076923076923077
late,6,6,13,2,0.47160490805154814,2,0.0,0.15384615384615385
late,6,13,13,2,0.2057734050747276,5,0.0,0.38461538461538464
late,10,1,16,2,0.494390310242881,1,1.0,0.0625
late,10,10,16,2,0.40970551034747216,10,0.6,0.625
late,10,11,16,2,0.42009652993507995,2,0.5,0.125
late,10,12,16,2,0.42737961615307024,1,1.0,0.0625
late,10,13,16,2,0.248782481634085,2,0.0,0.125
late,11,10,1,2,0.455955919297311,1,1.0,1.0
late,13,13,1,2,0.16563801293192268,1,0.0,1.0
late,15,5,5,2,0.880567229977086,1,1.0,0.2
late,15,6,5,2,0.8818879202625972,1,0.0,0.2
late,15,10,5,2,0.7817516575972386,2,0.5,0.4
late,15,11,5,2,0.7938391014890964,1,1.0,0.2
late,0,1,5,3,0.8360127890584644,2,1.0,0.4
late,0,2,5,3,0.8205611119406745,1,1.0,0.2
late,0,5,5,3,0.8414178201837824,2,1.0,0.4
late,1,1,59,3,0.503010855848944,27,0.5925925925925926,0.4576271186440678
late,1,2,59,3,0.4812381774602345,5,0.0,0.0847457627118644
late,1,5,59,3,0.455539886257069,8,0.25,0.13559322033898305
late,1,6,59,3,0.4552895730402025,10,0.3,0.1694915254237288
