phase,A1_actionId,C_actionId,n_context,A1_playerId,A1_spinId,C_spinId,EV,count,train_winrate,usage_rate
late,1,2,4,0,1,1,0.5035095804909536,2,0.5,0.5
late,1,5,4,0,1,1,0.48621403083749287,1,0.0,0.25
late,1,13,4,0,1,3,0.26544020187804906,1,0.0,0.25
late,2,1,3,0,1,1,0.5249723431939964,1,1.0,0.3333333333333333
late,2,2,3,0,1,1,0.5092593550113026,2,0.5,0.6666666666666666
late,4,6,1,0,4,0,0.009338519337881048,1,0.0,1.0
late,5,5,1,0,1,4,0.4758413848953306,1,0.0,1.0
late,6,2,6,0,3,1,0.4770594338873965,4,0.75,0.6666666666666666
late,6,5,6,0,3,0,0.011500326611292256,1,0.0,0.16666666666666666
late,6,13,6,0,3,3,0.21750110060295155,1,0.0,0.16666666666666666
late,7,5,4,0,1,0,0.012077186679320485,1,0.0,0.25
late,7,6,4,0,1,3,0.498542404060454,1,0.0,0.25
late,7,13,4,0,1,3,0.2733430457133118,2,0.0,0.5
late,10,2,1,0,2,1,0.4818455719553725,1,0.0,1.0
late,11,1,2,0,2,1,0.5054133919876846,1,1.0,0.5
late,11,2,2,0,2,1,0.48335264739129624,1,0.0,0.5
late,11,13,1,0,3,3,0.17812630706449792,1,0.0,1.0
late,13,1,3,0,3,1,0.488414593389553,1,0.0,0.3333333333333333
late,13,2,3,0,3,1,0.45669585888919145,1,0.0,0.3333333333333333
late,13,5,3,0,3,0,0.01148524090921621,1,0.0,0.3333333333333333
late,15,1,2,0,2,1,0.894762382512588,2,1.0,1.0
late,15,6,2,0,3,3,0.8928982320804506,1,1.0,0.5
late,15,7,2,0,3,1,0.8492345440913129,1,1.0,0.5
late,15,2,4,0,5,1,0.8726681238087283,2,1.0,0.5
late,15,7,4,0,5,1,0.863403914396841,1,1.0,0.25
late,15,11,4,0,5,3,0.7838350357832808,1,1.0,0.25
late,17,6,1,0,4,3,0.9063287859941056,1,1.0,1.0
late,17,1,3,0,5,1,0.8885716017278821,1,1.0,0.3333333333333333
late,17,6,3,0,5,3,0.8969455186646366,1,1.0,0.3333333333333333
late,17,11,3,0,5,2,0.8035675682849246,1,1.0,0.3333333333333333
late,1,2,3,1,1,1,0.49019667139391215,1,1.0,0.3333333333333333
late,1,13,3,1,1,3,0.25689712290142636,2,0.0,0.6666666666666666
late,2,2,6,1,1,1,0.467990636782114,3,1.0,0.5
late,2,13,6,1,1,3,0.23245689350009324,3,0.0,0.5
late,4,2,2,1,1,1,0.46812586311940296,2,0.5,1.0
late,10,1,8,1,2,1,0.5050261250758368,1,0.0,0.125
late,10,2,8,1,2,1,0.47969617976928197,3,0.6666666666666666,0.375
late,10,10,8,1,2,2,0.43149638682791,1,0.0,0.125
late,10,13,8,1,2,3,0.2708162495339823,3,0.0,0.375
late,13,2,8,1,3,1,0.45381405561085236,2,1.0,0.25
late,13,13,8,1,3,0,0.010238006657006096,1,0.0,0.125
late,13,13,8,1,3,3,0.21330802782248592,5,0.2,0.625
late,15,10,1,1,2,2,0.765516281830679,1,1.0,1.0
late,15,2,2,1,5,1,0.8432975583891487,1,1.0,0.5
late,15,13,2,1,5,3,0.5755281579810916,1,0.0,0.5
late,1,1,2,2,1,1,0.5160085989369461,2,0.5,1.0
late,5,6,4,2,1,3,0.47895331395479407,2,0.0,0.5
late,5,13,4,2,1,3,0.23193615719979277,2,0.0,0.5
late,6,1,13,2,3,1,0.5007769247722428,1,0.0,0.07692307692307693
late,6,3,13,2,3,3,0.5199459030384097,1,1.0,0.07692307692307693
late,6,5,13,2,3,1,0.45412299204617884,4,0.75,0.3076923076923077
late,6,6,13,2,3,3,0.48482947333926923,2,0.0,0.15384615384615385
late,6,13,13,2,3,3,0.2094676747134394,5,0.0,0.38461538461538464
late,10,1,14,2,2,1,0.5074569633007153,1,1.0,0.07142857142857142
late,10,10,14,2,2,2,0.4387681170147734,9,0.5555555555555556,0.6428571428571429
late,10,11,14,2,2,2,0.45057410560712446,2,0.5,0.14285714285714285
late,10,12,14,2,2,2,0.4585579767833901,1,1.0,0.07142857142857142
late,10,13,14,2,2,0,0.011270905836651648,1,0.0,0.07142857142857142
late,10,13,1,2,3,3,0.17315056832161607,1,0.0,1.0
late,10,10,1,2,5,2,0.4634073640211962,1,1.0,1.0
late,11,10,1,2,2,2,0.455955919297311,1,1.0,1.0
late,13,13,1,2,3,3,0.16563801293192268,1,0.0,1.0
late,15,6,1,2,4,3,0.8889994359002665,1,0.0,1.0
late,15,5,4,2,5,1,0.8697079121561303,1,1.0,0.25
late,15,10,4,2,5,2,0.7882514495816503,2,0.5,0.5
late,15,11,4,2,5,2,0.8002558079094106,1,1.0,0.25
late,0,1,5,3,0,1,0.8360127890584644,2,1.0,0.4
late,0,2,5,3,0,1,0.8205611119406745,1,1.0,0.2
late,0,5,5,3,0,1,0.8414178201837824,2,1.0,0.4
late,1,1,59,3,1,1,0.4903189297700824,27,0.5925925925925926,0.4576271186440678
late,1,2,59,3,1,1,0.4669859522684728,5,0.0,0.0847457627118644
late,1,5,59,3,1,1,0.44878772347348306,8,0.25,0.13559322033898305
late,1,6,59,3,1,3,0.46881586796570146,10,0.3,0.1694915254237288
late,1,10,59,3,1,2,0.388160137640468,3,0.0,0.05084745762711865
late,1,13,59,3,1,3,0.23206061019486482,6,0.0,0.1016949152542373
late,2,2,8,3,1,1,0.4549376428389835,2,0.0,0.25
late,2,3,8,3,1,3,0.5066720290096339,1,1.0,0.125
late,2,6,8,3,1,3,0.4415578756012398,2,0.5,0.25
late,2,13,8,3,1,3,0.20881592373024774,3,0.3333333333333333,0.375
late,3,3,1,3,2,2,0.5606150403610752,1,0.0,1.0
late,4,13,2,3,1,3,0.20000088438794278,2,0.5,1.0
late,5,1,18,3,1,1,0.48304428146296047,8,0.625,0.4444444444444444
late,5,2,18,3,1,1,0.45983459821197115,2,0.0,0.1111111111111111
late,5,5,18,3,1,1,0.4419496612506232,3,0.6666666666666666,0.16666666666666666
late,5,6,18,3,1,3,0.4516506481265394,3,0.3333333333333333,0.16666666666666666
late,5,13,18,3,1,3,0.2157054411446236,2,0.0,0.1111111111111111
late,6,1,18,3,3,1,0.46431846497479196,1,1.0,0.05555555555555555
late,6,2,18,3,3,1,0.4369617815908248,3,0.3333333333333333,0.16666666666666666
late,6,6,18,3,3,3,0.44349117202897925,8,0.5,0.4444444444444444
late,6,13,18,3,3,3,0.18761582103901575,6,0.16666666666666666,0.3333333333333333
late,7,6,2,3,1,3,0.43175052282277304,1,0.0,0.5
late,7,13,2,3,1,3,0.20425743433676152,1,1.0,0.5
late,7,2,4,3,3,1,0.4619588047719426,2,0.5,0.5
late,7,13,4,3,3,3,0.2159539284920988,2,0.5,0.5
