phase,A1_actionId,C_actionId,n_context,A1_playerId,EV,count,train_winrate,usage_rate
receive,1,2,3,0,0.45316699283446055,1,1.0,0.3333333333333333
receive,1,5,3,0,0.43839601618452934,1,0.0,0.3333333333333333
receive,1,13,3,0,0.302497149294603,1,0.0,0.3333333333333333
receive,4,6,3,0,0.30902016837156104,3,0.0,1.0
receive,7,5,7,0,0.3970118984625617,1,0.0,0.14285714285714285
receive,7,6,7,0,0.3928488725259503,4,0.5,0.5714285714285714
receive,7,13,7,0,0.267394838458601,2,0.0,0.2857142857142857
receive,11,1,4,0,0.49868670272127535,1,1.0,0.25
receive,11,2,4,0,0.4609149533547687,1,0.0,0.25
receive,11,11,4,0,0.3899464089241028,1,1.0,0.25
receive,11,13,4,0,0.26151242797958596,1,0.0,0.25
receive,1,2,3,1,0.4421136748546495,2,1.0,0.6666666666666666
receive,1,13,3,1,0.2940584060326317,1,0.0,0.3333333333333333
receive,4,2,3,1,0.4241472240107668,2,0.5,0.6666666666666666
receive,4,13,3,1,0.26439799803037806,1,1.0,0.3333333333333333
receive,10,1,6,1,0.49991988043329405,1,0.0,0.16666666666666666
receive,10,2,6,1,0.46083425561297103,1,0.0,0.16666666666666666
receive,10,10,6,1,0.3863883847408762,1,0.0,0.16666666666666666
receive,10,13,6,1,0.3192871023790142,3,0.3333333333333333,0.5
receive,1,1,1,2,0.47323394041261446,1,0.0,1.0
receive,6,5,10,2,0.4444843038572725,3,0.6666666666666666,0.3
receive,6,6,10,2,0.4403335971766307,2,0.0,0.2
receive,6,13,10,2,0.2438601216256505,5,0.0,0.5
receive,10,10,7,2,0.3991030542094248,7,0.8571428571428571,1.0
receive,1,1,9,3,0.4602030541863998,3,1.0,0.3333333333333333
receive,1,5,9,3,0.4002664559684456,3,0.0,0.3333333333333333
receive,1,6,9,3,0.39869482473488205,2,0.5,0.2222222222222222
receive,1,13,9,3,0.2681378892554839,1,0.0,0.1111111111111111
receive,4,13,4,3,0.23842761893413655,4,0.25,1.0
receive,6,1,5,3,0.47886498411732026,2,0.5,0.4
receive,6,6,5,3,0.4100115143578038,1,0.0,0.2
receive,6,13,5,3,0.23689818863508094,2,0.5,0.4
receive,7,1,6,3,0.47349422228357924,1,0.0,0.16666666666666666
receive,7,2,6,3,0.4367705250200627,1,1.0,0.16666666666666666
receive,7,6,6,3,0.4064246498310112,1,0.0,0.16666666666666666
receive,7,13,6,3,0.2498809342091243,3,0.6666666666666666,0.5
receive,10,1,56,3,0.4669855369599718,21,0.38095238095238093,0.375
receive,10,2,56,3,0.42728507233948326,1,0.0,0.017857142857142856
receive,10,5,56,3,0.4004536028298619,5,0.2,0.08928571428571429
receive,10,6,56,3,0.3995462658141321,8,0.625,0.14285714285714285
receive,10,7,56,3,0.3667588934805465,2,0.0,0.03571428571428571
receive,10,10,56,3,0.3584694359706059,9,0.3333333333333333,0.16071428571428573
receive,10,13,56,3,0.29481351553505775,10,0.2,0.17857142857142858
receive,11,1,27,3,0.4948999574109373,13,0.23076923076923078,0.48148148148148145
receive,11,6,27,3,0.4249307090811309,2,0.5,0.07407407407407407
receive,11,7,27,3,0.37699938701013264,2,0.5,0.07407407407407407
receive,11,10,27,3,0.36136546846762424,7,0.5714285714285714,0.25925925925925924
receive,11,13,27,3,0.30669836534290984,3,0.0,0.1111111111111111
receive,1,2,1,4,0.4140671057114056,1,0.0,1.0
receive,10,1,17,4,0.3920910931595288,6,0.16666666666666666,0.35294117647058826
receive,10,10,17,4,0.30099710551774495,5,0.4,0.29411764705882354
receive,10,13,17,4,0.2019610905336329,5,0.2,0.29411764705882354
receive,10,14,17,4,0.16424932925079821,1,0.0,0.058823529411764705
receive,11,14,1,4,0.12715235865393618,1,1.0,1.0
receive,1,9,2,5,0.34670988450784973,2,0.0,1.0
receive,8,13,1,5,0.25256187980967504,1,0.0,1.0
receive,9,9,7,5,0.3886649874133306,5,0.2,0.7142857142857143
receive,9,10,7,5,0.3695893203863672,1,1.0,0.14285714285714285
receive,9,13,7,5,0.28334376230178016,1,1.0,0.14285714285714285
receive,10,1,7,5,0.44427464814072953,1,0.0,0.14285714285714285
receive,10,5,7,5,0.3791460404368233,1,1.0,0.14285714285714285
receive,10,9,7,5,0.3605552726921552,4,0.25,0.5714285714285714
receive,10,13,7,5,0.23833709319784477,1,0.0,0.14285714285714285
receive,1,3,1,6,0.48542164211364064,1,0.0,1.0
receive,4,5,9,6,0.42636106211907127,1,1.0,0.1111111111111111
receive,4,6,9,6,0.4208402481334955,1,0.0,0.1111111111111111
receive,4,12,9,6,0.359202986853539,1,0.0,0.1111111111111111
receive,4,13,9,6,0.26695430297829476,6,0.3333333333333333,0.6666666666666666
receive,6,3,3,6,0.46685109586789225,1,0.0,0.3333333333333333
receive,6,5,3,6,0.4519841244873483,1,0.0,0.3333333333333333
