phase,A1_actionId,C_actionId,n_context,A1_playerId,A1_spinId,C_spinId,EV,count,train_winrate,usage_rate
receive,1,2,3,0,1,1,0.44463751484754854,1,1.0,0.3333333333333333
receive,1,5,3,0,1,1,0.4312709939049715,1,0.0,0.3333333333333333
receive,1,13,3,0,1,3,0.3020293996878935,1,0.0,0.3333333333333333
receive,4,6,3,0,4,0,0.009436728696092802,1,0.0,0.3333333333333333
receive,4,6,3,0,4,3,0.4603938518488317,2,0.0,0.6666666666666666
receive,7,5,7,0,1,0,0.011989890107530711,1,0.0,0.14285714285714285
receive,7,6,7,0,1,3,0.45504084418229407,4,0.5,0.5714285714285714
receive,7,13,7,0,1,3,0.3096644074828478,2,0.0,0.2857142857142857
receive,11,1,3,0,2,1,0.46707387797025585,1,1.0,0.3333333333333333
receive,11,2,3,0,2,1,0.4273731384029466,1,0.0,0.3333333333333333
receive,11,11,3,0,2,2,0.4031086853445152,1,1.0,0.3333333333333333
receive,11,13,1,0,3,3,0.21113110729773416,1,0.0,1.0
receive,1,2,3,1,1,1,0.43441986243402164,2,1.0,0.6666666666666666
receive,1,13,3,1,1,3,0.2935273730701194,1,0.0,0.3333333333333333
receive,4,2,3,1,1,1,0.41861352340304886,2,0.5,0.6666666666666666
receive,4,13,3,1,1,3,0.26559329384971714,1,1.0,0.3333333333333333
receive,10,1,6,1,2,1,0.4713340368779149,1,0.0,0.16666666666666666
receive,10,2,6,1,2,1,0.42831563235275244,1,0.0,0.16666666666666666
receive,10,10,6,1,2,2,0.3886613123069995,1,0.0,0.16666666666666666
receive,10,13,6,1,2,3,0.31787603122416075,3,0.3333333333333333,0.5
receive,1,1,1,2,1,1,0.47323394041261446,1,0.0,1.0
receive,6,5,10,2,3,1,0.42140821623634156,3,0.6666666666666666,0.3
receive,6,6,10,2,3,3,0.4503600545365171,2,0.0,0.2
receive,6,13,10,2,3,3,0.24761827214587706,5,0.0,0.5
receive,10,10,5,2,2,2,0.3927505110264697,5,0.8,1.0
receive,10,10,2,2,5,2,0.4149844121668127,2,1.0,1.0
receive,1,1,9,3,1,1,0.44831318338698295,3,1.0,0.3333333333333333
receive,1,5,9,3,1,1,0.3927155779109346,3,0.0,0.3333333333333333
receive,1,6,9,3,1,3,0.4117309580845426,2,0.5,0.2222222222222222
receive,1,13,9,3,1,3,0.2674914027891657,1,0.0,0.1111111111111111
receive,4,13,4,3,1,3,0.23842761893413655,4,0.25,1.0
receive,6,1,5,3,3,1,0.45091444582160733,2,0.5,0.4
receive,6,6,5,3,3,3,0.42081114672322595,1,0.0,0.2
receive,6,13,5,3,3,3,0.24100888821737318,2,0.5,0.4
receive,7,1,3,3,1,1,0.4420197794296723,1,0.0,0.3333333333333333
receive,7,6,3,3,1,3,0.3985754548867502,1,0.0,0.3333333333333333
receive,7,13,3,3,1,3,0.2485754232498619,1,1.0,0.3333333333333333
receive,7,2,3,3,3,1,0.4239732471183391,1,1.0,0.3333333333333333
receive,7,13,3,3,3,3,0.25552665275672076,2,0.5,0.6666666666666666
receive,10,1,56,3,2,1,0.44631191468043296,21,0.38095238095238093,0.375
receive,10,2,56,3,2,1,0.4036993050185859,1,0.0,0.017857142857142856
receive,10,5,56,3,2,1,0.39324950508870654,5,0.2,0.08928571428571429
receive,10,6,56,3,2,3,0.4057122873817272,8,0.625,0.14285714285714285
receive,10,7,56,3,2,3,0.3693228726501144,2,0.0,0.03571428571428571
receive,10,10,56,3,2,2,0.36065905675957216,9,0.3333333333333333,0.16071428571428573
receive,10,13,56,3,2,3,0.2940121401553878,10,0.2,0.17857142857142858
receive,11,1,22,3,2,1,0.46824237065834473,12,0.16666666666666666,0.5454545454545454
receive,11,6,22,3,2,3,0.4404747945408791,1,0.0,0.045454545454545456
receive,11,7,22,3,2,1,0.38008955722870447,2,0.5,0.09090909090909091
receive,11,10,22,3,2,2,0.37054792799914,5,0.6,0.22727272727272727
receive,11,13,22,3,2,3,0.3143895833715316,2,0.0,0.09090909090909091
receive,11,1,5,3,3,1,0.45422701001680366,1,1.0,0.2
receive,11,6,5,3,3,3,0.4343722891317102,1,1.0,0.2
receive,11,10,5,3,3,3,0.330900243651302,2,0.5,0.4
receive,11,13,5,3,3,3,0.24985771216623273,1,0.0,0.2
receive,1,2,1,4,1,1,0.4140671057114056,1,0.0,1.0
receive,10,1,16,4,2,0,0.0079552422002653,1,0.0,0.0625
receive,10,1,16,4,2,1,0.39056331502479974,5,0.2,0.3125
receive,10,10,16,4,2,2,0.3238568341434955,3,0.3333333333333333,0.1875
receive,10,10,16,4,2,3,0.31783313179146183,2,0.5,0.125
receive,10,13,16,4,2,3,0.22305125150693908,5,0.2,0.3125
receive,10,14,1,4,3,3,0.13547762941205307,1,0.0,1.0
receive,11,14,1,4,3,3,0.12715235865393618,1,1.0,1.0
receive,1,9,2,5,1,2,0.34670988450784973,2,0.0,1.0
receive,8,13,1,5,2,3,0.25256187980967504,1,0.0,1.0
receive,9,9,7,5,2,2,0.3891526378772701,5,0.2,0.7142857142857143
receive,9,10,7,5,2,3,0.3649812428097201,1,1.0,0.14285714285714285
receive,9,13,7,5,2,3,0.2861359079188163,1,1.0,0.14285714285714285
receive,10,1,5,5,2,1,0.426043676200938,1,0.0,0.2
receive,10,5,5,5,2,1,0.3634463373741853,1,1.0,0.2
receive,10,9,5,5,2,2,0.35965413835722637,2,0.0,0.4
receive,10,13,5,5,2,3,0.24544771940428065,1,0.0,0.2
receive,10,9,2,5,3,2,0.36457965881223214,2,0.5,1.0
receive,1,3,1,6,4,3,0.48542164211364064,1,0.0,1.0
receive,4,6,8,6,1,3,0.42000773601863184,1,0.0,0.125
receive,4,12,8,6,1,2,0.3620034415597624,1,0.0,0.125
receive,4,13,8,6,1,3,0.2682611959829631,6,0.3333333333333333,0.75
receive,4,5,1,6,4,1,0.43434085101124087,1,1.0,1.0
receive,6,3,3,6,3,3,0.4784991334572439,1,0.0,0.3333333333333333
receive,6,5,3,6,3,1,0.42888930072140335,1,0.0,0.3333333333333333
receive,6,13,3,6,3,3,0.2725283077834769,1,1.0,0.3333333333333333
receive,7,3,1,6,3,3,0.45935289730181333,1,0.0,1.0
receive,10,3,6,6,2,3,0.4648317513693541,3,0.3333333333333333,0.5
receive,10,5,6,6,2,1,0.4183232025417858,1,0.0,0.16666666666666666
receive,10,13,6,6,2,3,0.3101932566286934,2,0.0,0.3333333333333333
receive,1,13,2,7,1,3,0.3016938886106175,2,0.0,1.0
receive,4,1,3,7,1,1,0.48036579167253485,1,0.0,0.3333333333333333
receive,4,2,3,7,1,1,0.44877432481613116,2,0.5,0.6666666666666666
receive,6,14,1,7,3,1,0.19583485192536337,1,0.0,1.0
receive,7,2,1,7,1,1,0.541533804332107,1,1.0,1.0
receive,10,1,11,7,2,0,0.012298792293628314,1,0.0,0.09090909090909091
receive,10,1,11,7,2,1,0.4805770748861406,1,0.0,0.09090909090909091
receive,10,2,11,7,2,1,0.4413890673347936,4,0.5,0.36363636363636365
receive,10,9,11,7,2,3,0.4278378965569343,1,0.0,0.09090909090909091
receive,10,13,11,7,2,0,0.011710530435266077,1,0.0,0.09090909090909091
receive,10,13,11,7,2,3,0.32040571296910086,3,0.3333333333333333,0.2727272727272727
receive,10,14,1,7,3,1,0.22009731138388974,1,0.0,1.0
receive,11,11,1,7,2,2,0.40541891607760616,1,1.0,1.0
receive,1,1,12,8,1,1,0.4859820536717893,1,0.0,0.08333333333333333
receive,1,2,12,8,1,1,0.44197170045767525,1,0.0,0.08333333333333333
receive,1,5,12,8,1,1,0.4292174077891789,2,0.5,0.16666666666666666
receive,1,6,12,8,1,3,0.4487060599459712,3,0.0,0.25
receive,1,13,12,8,1,3,0.3034370359785021,5,0.4,0.4166666666666667
receive,4,6,5,8,1,3,0.42169566295325583,1,0.0,0.2
receive,4,13,5,8,1,3,0.2693244645013791,4,0.25,0.8
receive,6,13,2,8,3,3,0.2687263613963064,2,0.5,1.0
receive,7,6,3,8,1,3,0.43880518960226095,1,0.0,0.3333333333333333
receive,7,13,3,8,1,3,0.28276599192950397,2,0.0,0.6666666666666666
receive,10,1,24,8,2,1,0.4792949914768152,2,0.5,0.08333333333333333
receive,10,2,24,8,2,1,0.43603165929461357,1,0.0,0.041666666666666664
receive,10,6,24,8,2,3,0.4372111647295167,3,0.0,0.125
receive,10,12,24,8,2,2,0.4094699478805998,1,0.0,0.041666666666666664
receive,10,13,24,8,2,3,0.318525602873645,17,0.35294117647058826,0.7083333333333334
receive,10,13,5,8,3,0,0.01150573479292239,1,0.0,0.2
receive,10,13,5,8,3,3,0.21012039759254791,4,0.25,0.8
receive,10,6,3,8,5,3,0.4203520281724468,1,0.0,0.3333333333333333
receive,10,13,3,8,5,3,0.3413070880027518,2,1.0,0.6666666666666666
receive,11,10,2,8,2,2,0.40508950387319365,1,1.0,0.5
receive,11,10,2,8,2,3,0.3886534580829861,1,1.0,0.5
receive,11,6,2,8,3,3,0.46395019320429065,1,1.0,0.5
receive,11,10,2,8,3,2,0.3728024976746942,1,0.0,0.5
receive,10,6,1,9,5,3,0.4154051015843453,1,1.0,1.0
