player_name,player_id,rally_count,match_count
ALLEGRO Martin,0,149,1
AMY WANG,1,136,1
Ali,2,244,1
Bernadette Szocs,3,937,4
Bode Abiodun,4,171,1
CREANGE Lucas Edouard,5,159,1
CUESTA MARTINEZ Eduardo,6,197,2
Can Akkuzu,7,181,1
DIAZ Adriana,8,569,3
Damian FIRA,9,23,1
Eduardo Cuesta Martinez,10,229,1
Filus Ruwen,11,1094,5
Florian VAN ACKER,12,272,2
Franziska Patrick,13,445,3
HAMAMOTO Yui,14,309,1
HARA Hajime,15,186,1
Hana MATELOVA,16,154,1
Hina Hayata,17,152,1
Ho Tin Tin,18,123,1
Hugo,19,888,3
IONESCU Ovidiu,20,181,1
Ito Mima 伊藤美誠,21,3029,18
JoNG Un Ju,22,190,1
Jouti Eric,23,337,1
KATO Koya,24,119,1
KIM Bogyeom,25,224,1
Kim Nam Hae,26,131,2
Kristian KARLSSON,27,2,1
Lin Ye,28,140,1
MOREGARD Truls,29,168,1
Maki Shiomi,30,210,1
Nuytinck Cedric,31,280,2
POLCANOVA Sofia,32,772,1
Paul Drinkhall,33,252,1
Peter PALOS,34,324,2
Pitchford Liam,35,471,2
RASSENFOSSE Adrien,36,202,1
Ruwen Filus菲魯斯,37,910,6
Shin Yubin,38,346,2
Simon Gauzy,39,357,1
Suthasini Sawettabut 蘇塔西尼 薩維塔布,40,121,1
VAN ACKER Florian,41,171,1
Valerii VLASENKO,42,100,1
Vladimir Samsonov,43,530,2
丁寧,44,230,2
丹羽孝希,45,330,1
于修婷,46,212,1
于夢雨,47,332,3
任浩,48,250,1
佐藤瞳,49,788,2
何卓佳,50,782,2
侯英超,51,257,1
倪夏蓮,52,179,1
出澤杏佳,53,667,2
劉丁碩,54,397,2
劉佳,55,196,1
劉斐,56,646,3
劉詩雯,57,939,4
劉馨尹,58,129,1
加藤美優,59,302,1
史穎嘉,60,6,1
吳玥,61,124,1
周啟豪,62,443,2
哈薩克選手,63,148,1
孫穎莎,64,2931,13
孫聞,65,182,1
小塩遙菜,66,378,1
川瑞基,67,280,1
巫竑毅,68,206,1
平野美宇,69,1224,6
廖振珽,70,2710,14
張安,71,344,2
張本智和,72,3091,14
張本美和,73,611,2
張繼科,74,664,3
張芷瑄,75,163,1
張銳,76,650,2
彭王維,77,129,1
徐孝元,78,500,3
房昱欣,79,147,1
方思涵,80,233,2
早田希娜,81,417,3
曹彤君,82,2093,11
曾子彧,83,115,1
朱世赫,84,171,1
朱雨玲,85,265,1
李佳陞,86,322,2
李婉瑄,87,135,1
李尚朱,88,273,1
李恩绮,89,238,1
李昱諄,90,671,3
李秉儒,91,133,1
杜凱琹,92,905,4
林孟嫻,93,125,1
林家瑄,94,437,1
林恒妤,95,148,1
林昀儒,96,7020,35
林高遠,97,411,2
梁靖崑,98,256,1
楊子儀,99,187,1
楊曉欣,100,462,2
樊振東,101,2341,11
武揚,102,239,1
洪子翔,103,110,1
洪敬愷,104,183,1
洪琇琬,105,391,2
澳洽洛夫,106,1222,5
王意如,107,776,3
王慧靜 Amy WANG,108,89,1
王曼昱,109,371,2
王曼玉,110,356,2
王楚欽,111,1361,8
王藝迪,112,896,4
田智希,113,387,2
盧曉慧,114,294,1
石川佳純,115,1808,6
程銘志,116,248,1
竹守彪,117,235,1
簡彤娟,118,483,4
簡睿萱,119,56,1
胡立宣,120,7,1
英田理志,121,176,1
莊智淵,122,1784,9
葡萄牙選手,123,147,1
蔡佳叡,124,228,1
蔡惠珠,125,20,1
蔡昀恩,126,304,3
蕭子睿,127,151,1
蘇珮綾,128,3560,18
許昕,129,1946,8
諾斯柯娃,130,181,1
赤江夏星,131,185,1
郭冠宏,132,1399,10
鄭先知,133,1389,5
鄭友凇,134,98,1
鄭培鋒,135,160,1
鄭怡靜,136,7644,34
鄭榮植,137,307,2
金基泰,138,540,3
金頌伊,139,451,2
錢天一,140,678,3
陳㬩諭,141,183,1
陳亭婷,142,122,1
陳力帆,143,209,1
陳夢,144,2351,12
陳奕君,145,161,1
陳奕珺,146,590,2
陳奕騰,147,149,1
陳幸同,148,729,3
陳建安,149,212,2
陳思羽,150,1004,5
陳慈瑄,151,190,1
陳昕昀,152,398,3
陳柏諺,153,1503,8
陳采妮,154,105,1
韓瑩 HAN YING,155,2707,5
馬特,156,511,2
馬龍,157,1324,6
馮天薇,158,489,2
高承睿,159,233,2
高迎萱,160,353,3
黃彥誠,161,205,1
黃毓仁,162,164,1
黃淨嘉,163,202,1
黃靖雯,164,142,1
黃麒麟,165,19,1
