phase,A1_actionId,C_actionId,EV,A1_playerId,A1_spinId,C_spinId,count,train_winrate,usage_rate
late,2,2,0.5146389164892802,136,1,1,152,0.47368421052631576,0.5914396887159533
late,1,1,0.5663485310162408,96,1,1,126,0.6428571428571429,0.3795180722891566
late,1,1,0.5701862067712675,128,1,1,111,0.5945945945945946,0.5388349514563107
late,1,1,0.5611917918894724,136,1,1,106,0.5094339622641509,0.3241590214067278
late,1,2,0.5467823772507605,136,1,1,82,0.573170731707317,0.25076452599388377
late,1,1,0.5854165982413947,101,1,1,61,0.6885245901639344,0.5350877192982456
late,12,12,0.5145549874308667,155,2,2,61,0.39344262295081966,0.43884892086330934
late,2,2,0.5014748299669877,70,1,1,50,0.5,0.6666666666666666
late,2,2,0.5402969919972147,96,1,1,50,0.46,0.4424778761061947
late,1,13,0.24415560458160246,96,1,3,48,0.2708333333333333,0.14457831325301204
late,11,1,0.5432954392345002,96,2,1,47,0.5106382978723404,0.46078431372549017
late,1,1,0.5747716381154137,129,1,1,44,0.5227272727272727,0.5
late,12,12,0.4714506398248674,56,2,2,44,0.4090909090909091,0.7719298245614035
late,1,1,0.6214660739519844,64,1,1,43,0.627906976744186,0.34959349593495936
late,2,1,0.5323782075166752,136,1,1,43,0.5581395348837209,0.16731517509727625
late,1,1,0.601510034614373,111,1,1,42,0.5238095238095238,0.5915492957746479
late,10,10,0.6079405190199739,82,2,2,41,0.7560975609756098,0.3360655737704918
late,10,1,0.5440033106120602,136,2,1,40,0.525,0.22598870056497175
late,6,6,0.56547559900727,21,1,1,39,0.4358974358974359,0.38235294117647056
late,10,2,0.5256223664629374,136,2,1,39,0.41025641025641024,0.22033898305084745
late,10,12,0.5390070106234435,155,2,2,38,0.47368421052631576,0.4634146341463415
late,1,1,0.5875600206310677,132,1,1,38,0.631578947368421,0.42696629213483145
late,1,2,0.5543741338293319,96,1,1,38,0.34210526315789475,0.1144578313253012
late,1,5,0.5229446069076324,136,1,1,37,0.4864864864864865,0.11314984709480122
late,4,6,0.5159962811269154,96,1,1,37,0.4864864864864865,0.24666666666666667
late,1,1,0.5488053038197744,157,1,1,37,0.35135135135135137,0.6065573770491803
late,4,13,0.2287278112922045,96,1,3,37,0.2702702702702703,0.24666666666666667
late,11,1,0.5579442266965962,128,3,1,36,0.5277777777777778,0.6
late,13,13,0.2737426788697895,153,3,3,34,0.17647058823529413,0.4927536231884058
late,13,2,0.4943905697487389,136,3,1,34,0.5,0.40476190476190477
late,11,1,0.5609426207236523,111,2,1,34,0.6176470588235294,0.5483870967741935
late,1,1,0.5266792397575534,70,1,1,33,0.6060606060606061,0.32038834951456313
late,1,1,0.49014376863997805,115,1,1,32,0.4375,0.3950617283950617
late,10,3,0.65900267849129,82,2,3,32,0.8125,0.26229508196721313
late,10,13,0.24255791725867226,136,2,3,32,0.3125,0.1807909604519774
late,6,6,0.5603508931766262,64,1,1,31,0.6129032258064516,0.4305555555555556
late,2,1,0.5532528477275159,96,1,1,31,0.7096774193548387,0.2743362831858407
late,1,1,0.5724178881510359,122,1,1,31,0.8387096774193549,0.37349397590361444
late,1,1,0.5938431670302567,144,1,1,30,0.4,0.35294117647058826
late,10,2,0.517236585310725,96,2,1,29,0.5517241379310345,0.24166666666666667
late,13,13,0.1780902454935784,72,3,3,29,0.034482758620689655,0.46774193548387094
late,1,3,0.5910275784175573,96,1,3,29,0.7586206896551724,0.08734939759036145
late,5,5,0.518404720676433,136,1,1,28,0.6428571428571429,0.3218390804597701
late,1,1,0.5173937552873532,72,1,1,28,0.5714285714285714,0.28865979381443296
late,1,13,0.24078220122710203,128,1,3,28,0.17857142857142858,0.13592233009708737
late,1,13,0.24346721952195743,136,1,3,27,0.25925925925925924,0.08256880733944955
late,1,1,0.6337181204801877,153,1,1,27,0.7037037037037037,0.39705882352941174
late,10,1,0.5347896000879172,96,2,1,27,0.7407407407407407,0.225
late,5,5,0.5440506604217621,144,1,1,27,0.4444444444444444,0.6428571428571429
late,13,13,0.217931490368928,136,3,3,27,0.07407407407407407,0.32142857142857145
late,11,1,0.6036445958148572,21,2,1,27,0.6666666666666666,0.5294117647058824
late,1,1,0.5095569720271109,3,1,1,27,0.5925925925925926,0.4576271186440678
late,13,2,0.4864501513826813,96,3,1,26,0.34615384615384615,0.3023255813953488
late,10,12,0.6254522656231324,82,2,2,25,0.68,0.20491803278688525
late,1,1,0.5603073494443171,140,1,1,25,0.72,0.5
late,6,2,0.5212003062400774,96,1,1,25,0.4,0.32894736842105265
late,12,12,0.5208298171576863,66,2,2,25,0.52,0.6097560975609756
late,2,2,0.5210866314860819,69,1,1,25,0.44,0.7142857142857143
